"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"11","p108","PANTOSYN-PWY","superpathway of coenzyme A biosynthesis I (bacteria)","superpathway of coenzyme A biosynthesis I (bacteria) (PANTOSYN-PWY)","PANTOSYN-PWY",0.019835,0.011947,99.4,0.019095,0.012078,99.3,0.023446,0.010663,100
"6","p103","P441-PWY","superpathway of N-acetylneuraminate degradation","superpathway of N-acetylneuraminate degradation (P441-PWY)","P441-PWY",0.019513,0.011684,94.4,0.018855,0.011547,94.3,0.022724,0.01192,94.8
"37","p131","PWY-2941","L-lysine biosynthesis II","L-lysine biosynthesis II (PWY-2941)","PWY-2941",0.018688,0.012382,99.4,0.018435,0.012335,99.6,0.019919,0.012647,98.3
"254","p327","PWY-7198","pyrimidine deoxyribonucleotides de novo biosynthesis IV","pyrimidine deoxyribonucleotides de novo biosynthesis IV (PWY-7198)","PWY-7198",0.018682,0.00955,100,0.019026,0.009708,100,0.017005,0.00862,100
"446","p9","ARG+POLYAMINE-SYN","superpathway of arginine and polyamine biosynthesis","superpathway of arginine and polyamine biosynthesis (ARG+POLYAMINE-SYN)","ARG+POLYAMINE-SYN",0.018682,0.012515,93.8,0.018366,0.012604,93.3,0.020221,0.012056,96.6
"211","p289","PWY-6703","preQ0 biosynthesis","preQ0 biosynthesis (PWY-6703)","PWY-6703",0.018632,0.011385,100,0.017977,0.01155,100,0.021825,0.01003,100
"375","p436","SALVADEHYPOX-PWY","adenosine nucleotides degradation II","adenosine nucleotides degradation II (SALVADEHYPOX-PWY)","SALVADEHYPOX-PWY",0.018631,0.016558,90.6,0.017291,0.015908,90.8,0.025172,0.018192,89.7
"451","p94","P161-PWY","acetylene degradation (anaerobic)","acetylene degradation (anaerobic) (P161-PWY)","P161-PWY",0.018628,0.012515,96.8,0.018394,0.012424,96.8,0.019768,0.012998,96.6
"10","p107","PANTO-PWY","phosphopantothenate biosynthesis I","phosphopantothenate biosynthesis I (PANTO-PWY)","PANTO-PWY",0.018541,0.012641,99.4,0.017753,0.012726,99.3,0.022386,0.011572,100
"284","p354","PWY-7282","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II (PWY-7282)","PWY-7282",0.018043,0.009689,95.6,0.017858,0.009877,95.1,0.018949,0.008741,98.3
"410","p57","GLYCOLYSIS-E-D","superpathway of glycolysis and the Entner-Doudoroff pathway","superpathway of glycolysis and the Entner-Doudoroff pathway (GLYCOLYSIS-E-D)","GLYCOLYSIS-E-D",0.017974,0.011924,91.8,0.017414,0.011902,91.9,0.020705,0.011756,91.4
"381","p441","TCA","TCA cycle I (prokaryotic)","TCA cycle I (prokaryotic) (TCA)","TCA",0.017926,0.012518,96.2,0.0173,0.012515,95.8,0.020982,0.012177,98.3
"229","p304","PWY-6897","thiamine diphosphate salvage II","thiamine diphosphate salvage II (PWY-6897)","PWY-6897",0.017921,0.007848,99.1,0.01749,0.007854,98.9,0.02002,0.007532,100
"411","p58","GLYCOLYSIS-TCA-GLYOX-BYPASS","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass (GLYCOLYSIS-TCA-GLYOX-BYPASS)","GLYCOLYSIS-TCA-GLYOX-BYPASS",0.017908,0.01277,92.1,0.017443,0.012756,91.9,0.020181,0.012702,93.1
"142","p226","PWY-5989","stearate biosynthesis II (bacteria and plants)","stearate biosynthesis II (bacteria and plants) (PWY-5989)","PWY-5989",0.017802,0.009769,98.5,0.017112,0.00951,98.6,0.021171,0.010389,98.3
"110","p198","PWY-5723","Rubisco shunt","Rubisco shunt (PWY-5723)","PWY-5723",0.017597,0.013827,93.3,0.017,0.013584,92.9,0.020511,0.014735,94.8
"7","p104","P461-PWY","hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)","P461-PWY",0.017543,0.014457,94.7,0.016967,0.014236,94.7,0.020355,0.015311,94.8
"177","p258","PWY-6353","purine nucleotides degradation II (aerobic)","purine nucleotides degradation II (aerobic) (PWY-6353)","PWY-6353",0.016898,0.012917,90.6,0.016015,0.01269,90.8,0.021206,0.013261,89.7
"159","p241","PWY-6168","flavin biosynthesis III (fungi)","flavin biosynthesis III (fungi) (PWY-6168)","PWY-6168",0.016533,0.008878,98.8,0.015578,0.008843,98.6,0.02119,0.007533,100
"255","p328","PWY-7199","pyrimidine deoxyribonucleosides salvage","pyrimidine deoxyribonucleosides salvage (PWY-7199)","PWY-7199",0.016466,0.009195,99.7,0.015376,0.008616,99.6,0.021784,0.010118,100
"253","p326","PWY-7197","pyrimidine deoxyribonucleotide phosphorylation","pyrimidine deoxyribonucleotide phosphorylation (PWY-7197)","PWY-7197",0.016407,0.009795,100,0.016337,0.010215,100,0.016748,0.007475,100
"73","p164","PWY-5188","tetrapyrrole biosynthesis I (from glutamate)","tetrapyrrole biosynthesis I (from glutamate) (PWY-5188)","PWY-5188",0.016148,0.011678,99.1,0.015678,0.011872,98.9,0.018445,0.010471,100
"330","p396","PWY0-1297","superpathway of purine deoxyribonucleosides degradation","superpathway of purine deoxyribonucleosides degradation (PWY0-1297)","PWY0-1297",0.016143,0.009752,99.4,0.015593,0.009673,99.3,0.018825,0.009778,100
"189","p269","PWY-6519","8-amino-7-oxononanoate biosynthesis I","8-amino-7-oxononanoate biosynthesis I (PWY-6519)","PWY-6519",0.015917,0.010602,93,0.015199,0.010386,92.2,0.01942,0.011031,96.6
"172","p253","PWY-6305","superpathway of putrescine biosynthesis","superpathway of putrescine biosynthesis (PWY-6305)","PWY-6305",0.015892,0.013761,94.1,0.015049,0.013362,94,0.020004,0.015016,94.8
"398","p46","GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation (GLCMANNANAUT-PWY)","GLCMANNANAUT-PWY",0.015597,0.010334,97.7,0.014504,0.009833,97.2,0.020928,0.011128,100
"77","p168","PWY-5345","superpathway of L-methionine biosynthesis (by sulfhydrylation)","superpathway of L-methionine biosynthesis (by sulfhydrylation) (PWY-5345)","PWY-5345",0.015554,0.009558,94.1,0.015194,0.009675,93.6,0.017312,0.008831,96.6
"203","p281","PWY-6606","guanosine nucleotides degradation II","guanosine nucleotides degradation II (PWY-6606)","PWY-6606",0.015465,0.011577,95.9,0.01507,0.011731,95.4,0.017391,0.010678,98.3
"378","p439","SULFATE-CYS-PWY","superpathway of sulfate assimilation and cysteine biosynthesis","superpathway of sulfate assimilation and cysteine biosynthesis (SULFATE-CYS-PWY)","SULFATE-CYS-PWY",0.015357,0.01081,94.1,0.014744,0.010838,93.6,0.018346,0.010242,96.6
"449","p92","P124-PWY","Bifidobacterium shunt","Bifidobacterium shunt (P124-PWY)","P124-PWY",0.015231,0.011841,94.7,0.015761,0.011898,95.1,0.012642,0.011299,93.1
"155","p238","PWY-6147","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I (PWY-6147)","PWY-6147",0.015199,0.008488,99.7,0.01455,0.008274,99.6,0.01837,0.008876,100
"90","p18","BIOTIN-BIOSYNTHESIS-PWY","biotin biosynthesis I","biotin biosynthesis I (BIOTIN-BIOSYNTHESIS-PWY)","BIOTIN-BIOSYNTHESIS-PWY",0.014957,0.010083,93,0.014184,0.009794,92.2,0.018729,0.0107,96.6
"335","p40","FOLSYN-PWY","superpathway of tetrahydrofolate biosynthesis and salvage","superpathway of tetrahydrofolate biosynthesis and salvage (FOLSYN-PWY)","FOLSYN-PWY",0.014792,0.009082,98.2,0.014829,0.009261,98.2,0.014609,0.008224,98.3
"383","p443","THISYN-PWY","superpathway of thiamine diphosphate biosynthesis I","superpathway of thiamine diphosphate biosynthesis I (THISYN-PWY)","THISYN-PWY",0.014692,0.009366,90,0.014253,0.009354,90.5,0.016833,0.009206,87.9
"132","p217","PWY-5897","superpathway of menaquinol-11 biosynthesis","superpathway of menaquinol-11 biosynthesis (PWY-5897)","PWY-5897",0.014389,0.008449,96.5,0.013857,0.008491,96.1,0.016984,0.0078,98.3
"133","p218","PWY-5898","superpathway of menaquinol-12 biosynthesis","superpathway of menaquinol-12 biosynthesis (PWY-5898)","PWY-5898",0.014389,0.008449,96.5,0.013857,0.008491,96.1,0.016984,0.0078,98.3
"134","p219","PWY-5899","superpathway of menaquinol-13 biosynthesis","superpathway of menaquinol-13 biosynthesis (PWY-5899)","PWY-5899",0.014389,0.008449,96.5,0.013857,0.008491,96.1,0.016984,0.0078,98.3
"27","p122","PWY-1269","CMP-3-deoxy-D-manno-octulosonate biosynthesis","CMP-3-deoxy-D-manno-octulosonate biosynthesis (PWY-1269)","PWY-1269",0.014307,0.011262,94.4,0.013104,0.010504,94,0.020179,0.012978,96.6
"345","p409","PWY0-845","superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","superpathway of pyridoxal 5'-phosphate biosynthesis and salvage (PWY0-845)","PWY0-845",0.01427,0.010365,92.4,0.013433,0.009966,91.9,0.018355,0.011362,94.8
"353","p416","PWY3O-355","stearate biosynthesis III (fungi)","stearate biosynthesis III (fungi) (PWY3O-355)","PWY3O-355",0.014234,0.012056,89.4,0.014677,0.012306,88.7,0.012071,0.010586,93.1
"316","p383","PWY-7539","6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia) (PWY-7539)","PWY-7539",0.01411,0.00791,99.7,0.013389,0.007614,99.6,0.017628,0.008437,100
"18","p114","POLYAMSYN-PWY","superpathway of polyamine biosynthesis I","superpathway of polyamine biosynthesis I (POLYAMSYN-PWY)","POLYAMSYN-PWY",0.014084,0.011349,93.8,0.013621,0.011259,93.3,0.01634,0.011615,96.6
"331","p397","PWY0-1298","superpathway of pyrimidine deoxyribonucleosides degradation","superpathway of pyrimidine deoxyribonucleosides degradation (PWY0-1298)","PWY0-1298",0.013675,0.008534,99.1,0.013204,0.008538,98.9,0.015974,0.008203,100
"380","p440","TCA-GLYOX-BYPASS","superpathway of glyoxylate bypass and TCA","superpathway of glyoxylate bypass and TCA (TCA-GLYOX-BYPASS)","TCA-GLYOX-BYPASS",0.013604,0.011121,92.7,0.01313,0.011001,92.6,0.015918,0.011508,93.1
"171","p252","PWY-6285","superpathway of fatty acids biosynthesis (E. coli)","superpathway of fatty acids biosynthesis (E. coli) (PWY-6285)","PWY-6285",0.013575,0.009919,83.9,0.013167,0.009891,84.1,0.015563,0.009903,82.8
"118","p204","PWY-5838","superpathway of menaquinol-8 biosynthesis I","superpathway of menaquinol-8 biosynthesis I (PWY-5838)","PWY-5838",0.01354,0.008687,94.4,0.012955,0.008629,94.3,0.016392,0.008476,94.8
"379","p44","GALACTARDEG-PWY","D-galactarate degradation I","D-galactarate degradation I (GALACTARDEG-PWY)","GALACTARDEG-PWY",0.013133,0.012367,91.8,0.012499,0.011893,91.5,0.016231,0.014169,93.1
"400","p48","GLUCARGALACTSUPER-PWY","superpathway of D-glucarate and D-galactarate degradation","superpathway of D-glucarate and D-galactarate degradation (GLUCARGALACTSUPER-PWY)","GLUCARGALACTSUPER-PWY",0.013133,0.012367,91.8,0.012499,0.011893,91.5,0.016231,0.014169,93.1
"244","p318","PWY-7115","C4 photosynthetic carbon assimilation cycle, NAD-ME type","C4 photosynthetic carbon assimilation cycle, NAD-ME type (PWY-7115)","PWY-7115",0.013102,0.007489,97.7,0.01312,0.007701,97.2,0.013014,0.00641,100
"358","p420","PWY4LZ-257","superpathway of fermentation (Chlamydomonas reinhardtii)","superpathway of fermentation (Chlamydomonas reinhardtii) (PWY4LZ-257)","PWY4LZ-257",0.0131,0.010439,93.3,0.012674,0.010202,93.3,0.015176,0.011394,93.1
"66","p158","PWY-5173","307.3353044","no MetaCyc description (PWY-5173)","PWY-5173",0.012749,0.0099,98.2,0.012534,0.009994,98.2,0.013797,0.009442,98.3
"206","p284","PWY-6612","superpathway of tetrahydrofolate biosynthesis","superpathway of tetrahydrofolate biosynthesis (PWY-6612)","PWY-6612",0.012554,0.008629,98.2,0.012634,0.008768,98.2,0.012162,0.007977,98.3
"127","p212","PWY-5861","superpathway of demethylmenaquinol-8 biosynthesis I","superpathway of demethylmenaquinol-8 biosynthesis I (PWY-5861)","PWY-5861",0.012541,0.008156,94.4,0.012124,0.008146,94.3,0.014577,0.007961,94.8
"444","p88","ORNDEG-PWY","superpathway of ornithine degradation","superpathway of ornithine degradation (ORNDEG-PWY)","ORNDEG-PWY",0.012422,0.011308,88.3,0.011937,0.011097,88.3,0.014788,0.01211,87.9
"250","p323","PWY-7184","pyrimidine deoxyribonucleotides de novo biosynthesis I","pyrimidine deoxyribonucleotides de novo biosynthesis I (PWY-7184)","PWY-7184",0.012292,0.008891,93.3,0.012107,0.009152,92.9,0.013196,0.007498,94.8
"418","p64","HEMESYN2-PWY","heme b biosynthesis II (oxygen-independent)","heme b biosynthesis II (oxygen-independent) (HEMESYN2-PWY)","HEMESYN2-PWY",0.012279,0.008806,96.2,0.011883,0.008747,95.8,0.014214,0.008917,98.3
"99","p188","PWY-5659","GDP-mannose biosynthesis","GDP-mannose biosynthesis (PWY-5659)","PWY-5659",0.012235,0.00806,99.4,0.011552,0.007688,99.3,0.015571,0.009023,100
"290","p36","FAO-PWY","fatty acid &beta;-oxidation I (generic)","fatty acid beta-oxidation I (generic) (FAO-PWY)","FAO-PWY",0.012146,0.011056,90.9,0.011505,0.010696,90.5,0.015273,0.012293,93.1
"62","p154","PWY-5104","L-isoleucine biosynthesis IV","L-isoleucine biosynthesis IV (PWY-5104)","PWY-5104",0.01211,0.011222,89.1,0.011146,0.01076,88.7,0.016812,0.012303,91.4
"341","p405","PWY0-166","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli) (PWY0-166)","PWY0-166",0.012045,0.00867,91.8,0.01193,0.008853,92.2,0.012605,0.007763,89.7
"377","p438","SO4ASSIM-PWY","assimilatory sulfate reduction I","assimilatory sulfate reduction I (SO4ASSIM-PWY)","SO4ASSIM-PWY",0.01204,0.010416,94.1,0.01145,0.010483,93.6,0.01492,0.00966,96.6
"102","p190","PWY-5675","nitrate reduction V (assimilatory)","nitrate reduction V (assimilatory) (PWY-5675)","PWY-5675",0.012012,0.010837,92.1,0.011391,0.01054,92.2,0.015042,0.011818,91.4
"417","p63","HEME-BIOSYNTHESIS-II","heme b biosynthesis I (aerobic)","heme b biosynthesis I (aerobic) (HEME-BIOSYNTHESIS-II)","HEME-BIOSYNTHESIS-II",0.011992,0.009405,97.9,0.01173,0.009568,97.5,0.013273,0.008525,100
"370","p431","PYRIDOXSYN-PWY","pyridoxal 5'-phosphate biosynthesis I","pyridoxal 5'-phosphate biosynthesis I (PYRIDOXSYN-PWY)","PYRIDOXSYN-PWY",0.01171,0.00922,93,0.010829,0.008695,92.6,0.016008,0.010507,94.8
"236","p310","PWY-6969","TCA cycle V (2-oxoglutarate synthase)","TCA cycle V (2-oxoglutarate synthase) (PWY-6969)","PWY-6969",0.011608,0.009923,90.6,0.011313,0.010016,90.5,0.013047,0.009406,91.4
"372","p433","RHAMCAT-PWY","L-rhamnose degradation I","L-rhamnose degradation I (RHAMCAT-PWY)","RHAMCAT-PWY",0.01147,0.009557,92.4,0.010759,0.009208,92.2,0.014938,0.010518,93.1
"228","p303","PWY-6892","thiazole component of thiamine diphosphate biosynthesis I","thiazole component of thiamine diphosphate biosynthesis I (PWY-6892)","PWY-6892",0.011421,0.008953,90,0.011129,0.008877,90.5,0.012849,0.009261,87.9
"439","p83","NAGLIPASYN-PWY","lipid IVA biosynthesis (E. coli)","lipid IVA biosynthesis (E. coli) (NAGLIPASYN-PWY)","NAGLIPASYN-PWY",0.011331,0.00893,93,0.010762,0.008748,92.6,0.014111,0.009361,94.8
"119","p205","PWY-5840","superpathway of menaquinol-7 biosynthesis","superpathway of menaquinol-7 biosynthesis (PWY-5840)","PWY-5840",0.011231,0.007578,90.9,0.010931,0.007626,90.5,0.012696,0.007223,93.1
"278","p349","PWY-7254","TCA cycle VII (acetate-producers)","TCA cycle VII (acetate-producers) (PWY-7254)","PWY-7254",0.011179,0.0099,92.7,0.011001,0.010009,92.9,0.012043,0.00938,91.4
"445","p89","P105-PWY","TCA cycle IV (2-oxoglutarate decarboxylase)","TCA cycle IV (2-oxoglutarate decarboxylase) (P105-PWY)","P105-PWY",0.011005,0.009722,90,0.010737,0.009825,89.8,0.01231,0.009169,91.4
"106","p194","PWY-5690","TCA cycle II (plants and fungi)","TCA cycle II (plants and fungi) (PWY-5690)","PWY-5690",0.010943,0.009643,92.4,0.010704,0.009802,92.2,0.012106,0.008816,93.1
"138","p222","PWY-5918","superpathway of heme b biosynthesis from glutamate","superpathway of heme b biosynthesis from glutamate (PWY-5918)","PWY-5918",0.010851,0.008344,95,0.010472,0.008253,94.3,0.012699,0.00861,98.3
"120","p206","PWY-5845","superpathway of menaquinol-9 biosynthesis","superpathway of menaquinol-9 biosynthesis (PWY-5845)","PWY-5845",0.01084,0.007776,86.8,0.010566,0.007807,86.2,0.012179,0.007548,89.7
"202","p280","PWY-6595","superpathway of guanosine nucleotides degradation (plants)","superpathway of guanosine nucleotides degradation (plants) (PWY-6595)","PWY-6595",0.010804,0.010275,93.5,0.011079,0.010517,93.6,0.009466,0.008965,93.1
"121","p207","PWY-5850","superpathway of menaquinol-6 biosynthesis","superpathway of menaquinol-6 biosynthesis (PWY-5850)","PWY-5850",0.010666,0.007826,85.9,0.01041,0.007851,85.5,0.011918,0.007645,87.9
"131","p216","PWY-5896","superpathway of menaquinol-10 biosynthesis","superpathway of menaquinol-10 biosynthesis (PWY-5896)","PWY-5896",0.010666,0.007826,85.9,0.01041,0.007851,85.5,0.011918,0.007645,87.9
"190","p27","COLANSYN-PWY","colanic acid building blocks biosynthesis","colanic acid building blocks biosynthesis (COLANSYN-PWY)","COLANSYN-PWY",0.01058,0.008587,86.5,0.010019,0.008424,86.2,0.013317,0.008917,87.9
"170","p251","PWY-6284","superpathway of unsaturated fatty acids biosynthesis (E. coli)","superpathway of unsaturated fatty acids biosynthesis (E. coli) (PWY-6284)","PWY-6284",0.010496,0.00838,85,0.010232,0.00845,85.2,0.01178,0.007976,84.5
"179","p26","COBALSYN-PWY","superpathway of adenosylcobalamin salvage from cobinamide I","superpathway of adenosylcobalamin salvage from cobinamide I (COBALSYN-PWY)","COBALSYN-PWY",0.010044,0.007722,91.2,0.009585,0.007553,90.8,0.01228,0.008205,93.1
"63","p155","PWY-5121","superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP) (PWY-5121)","PWY-5121",0.009848,0.006025,98.8,0.009363,0.005639,98.6,0.012214,0.007238,100
"414","p60","GLYOXYLATE-BYPASS","glyoxylate cycle","glyoxylate cycle (GLYOXYLATE-BYPASS)","GLYOXYLATE-BYPASS",0.00951,0.008704,93,0.009142,0.008618,92.9,0.011305,0.008972,93.1
"128","p213","PWY-5862","superpathway of demethylmenaquinol-9 biosynthesis","superpathway of demethylmenaquinol-9 biosynthesis (PWY-5862)","PWY-5862",0.009497,0.006978,86.8,0.009347,0.007052,86.2,0.010227,0.006614,89.7
"326","p392","PWY0-1241","ADP-L-glycero-&beta;-D-manno-heptose biosynthesis","ADP-L-glycero-beta-D-manno-heptose biosynthesis (PWY0-1241)","PWY0-1241",0.009439,0.008396,96.2,0.009343,0.008612,95.8,0.00991,0.007298,98.3
"117","p203","PWY-5837","2-carboxy-1,4-naphthoquinol biosynthesis","2-carboxy-1,4-naphthoquinol biosynthesis (PWY-5837)","PWY-5837",0.009433,0.006858,96.5,0.009163,0.00693,96.1,0.010752,0.006388,98.3
"238","p312","PWY-7013","(S)-propane-1,2-diol degradation","(S)-propane-1,2-diol degradation (PWY-7013)","PWY-7013",0.009357,0.016014,75.1,0.01018,0.016922,76.7,0.005339,0.009652,67.2
"19","p115","POLYISOPRENSYN-PWY","polyisoprenoid biosynthesis (E. coli)","polyisoprenoid biosynthesis (E. coli) (POLYISOPRENSYN-PWY)","POLYISOPRENSYN-PWY",0.009351,0.006601,98.8,0.008777,0.006395,98.6,0.01215,0.006922,100
"126","p211","PWY-5860","superpathway of demethylmenaquinol-6 biosynthesis I","superpathway of demethylmenaquinol-6 biosynthesis I (PWY-5860)","PWY-5860",0.00934,0.007022,85.9,0.009206,0.007089,85.5,0.009993,0.006704,87.9
"399","p47","GLUCARDEG-PWY","D-glucarate degradation I","D-glucarate degradation I (GLUCARDEG-PWY)","GLUCARDEG-PWY",0.009331,0.008914,91.2,0.009006,0.008801,90.8,0.010917,0.009363,93.1
"346","p41","FUC-RHAMCAT-PWY","superpathway of fucose and rhamnose degradation","superpathway of fucose and rhamnose degradation (FUC-RHAMCAT-PWY)","FUC-RHAMCAT-PWY",0.009253,0.007896,89.1,0.008862,0.007819,88.7,0.01116,0.008058,91.4
"348","p411","PWY0-881","superpathway of fatty acid biosynthesis I (E. coli)","superpathway of fatty acid biosynthesis I (E. coli) (PWY0-881)","PWY0-881",0.009163,0.005779,89.1,0.009566,0.005749,90.1,0.007196,0.005564,84.5
"336","p400","PWY0-1415","superpathway of heme b biosynthesis from uroporphyrinogen-III","superpathway of heme b biosynthesis from uroporphyrinogen-III (PWY0-1415)","PWY0-1415",0.00897,0.007438,93.3,0.008644,0.007308,93.3,0.01056,0.007921,93.1
"192","p271","PWY-6531","mannitol cycle","mannitol cycle (PWY-6531)","PWY-6531",0.008757,0.007669,90.9,0.008558,0.007653,90.8,0.009728,0.007741,91.4
"438","p82","NAD-BIOSYNTHESIS-II","NAD salvage pathway III (to nicotinamide riboside)","NAD salvage pathway III (to nicotinamide riboside) (NAD-BIOSYNTHESIS-II)","NAD-BIOSYNTHESIS-II",0.008481,0.005745,99.1,0.008211,0.005617,98.9,0.009795,0.006216,100
"221","p298","PWY-6803","phosphatidylcholine acyl editing","phosphatidylcholine acyl editing (PWY-6803)","PWY-6803",0.008456,0.007471,92.4,0.008156,0.007467,92.2,0.009923,0.007382,93.1
"357","p42","FUCCAT-PWY","fucose degradation","fucose degradation (FUCCAT-PWY)","FUCCAT-PWY",0.008448,0.007706,90.9,0.00808,0.007549,90.5,0.010246,0.008266,93.1
"246","p32","DENOVOPURINE2-PWY","superpathway of purine nucleotides de novo biosynthesis II","superpathway of purine nucleotides de novo biosynthesis II (DENOVOPURINE2-PWY)","DENOVOPURINE2-PWY",0.008366,0.00755,81.5,0.007885,0.007171,80.9,0.010714,0.00888,84.5
"429","p74","LACTOSECAT-PWY","lactose and galactose degradation I","lactose and galactose degradation I (LACTOSECAT-PWY)","LACTOSECAT-PWY",0.008305,0.011776,97.1,0.00731,0.008521,96.8,0.013158,0.020954,98.3
"428","p73","KETOGLUCONMET-PWY","ketogluconate metabolism","ketogluconate metabolism (KETOGLUCONMET-PWY)","KETOGLUCONMET-PWY",0.008227,0.008656,89.4,0.007816,0.00841,89,0.010233,0.009597,91.4
"74","p165","PWY-5189","tetrapyrrole biosynthesis II (from glycine)","tetrapyrrole biosynthesis II (from glycine) (PWY-5189)","PWY-5189",0.007908,0.006854,93.3,0.007477,0.006518,93.3,0.010011,0.00804,93.1
"23","p119","PRPP-PWY","superpathway of histidine, purine, and pyrimidine biosynthesis","superpathway of histidine, purine, and pyrimidine biosynthesis (PRPP-PWY)","PRPP-PWY",0.0079,0.007135,81.2,0.007469,0.006805,80.6,0.010002,0.008317,84.5
"49","p142","PWY-4981","L-proline biosynthesis II (from arginine)","L-proline biosynthesis II (from arginine) (PWY-4981)","PWY-4981",0.00766,0.008838,95.6,0.007048,0.008012,95.4,0.010642,0.011724,96.6
"2","p10","ARGDEG-PWY","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)","ARGDEG-PWY",0.00763,0.008083,88,0.007725,0.008261,88,0.007167,0.007202,87.9
"443","p87","ORNARGDEG-PWY","superpathway of L-arginine and L-ornithine degradation","superpathway of L-arginine and L-ornithine degradation (ORNARGDEG-PWY)","ORNARGDEG-PWY",0.00763,0.008083,88,0.007725,0.008261,88,0.007167,0.007202,87.9
"47","p140","PWY-4702","phytate degradation I","phytate degradation I (PWY-4702)","PWY-4702",0.007171,0.007065,88.3,0.006534,0.006675,86.9,0.01028,0.008092,94.8
"325","p391","PWY0-1061","superpathway of L-alanine biosynthesis","superpathway of L-alanine biosynthesis (PWY0-1061)","PWY0-1061",0.007059,0.006413,88.6,0.006894,0.006502,88.7,0.007862,0.005951,87.9
"368","p43","GALACT-GLUCUROCAT-PWY","superpathway of hexuronide and hexuronate degradation","superpathway of hexuronide and hexuronate degradation (GALACT-GLUCUROCAT-PWY)","GALACT-GLUCUROCAT-PWY",0.007001,0.006188,85.6,0.006525,0.005956,85.9,0.009321,0.006807,84.5
"139","p223","PWY-5920","superpathway of heme b biosynthesis from glycine","superpathway of heme b biosynthesis from glycine (PWY-5920)","PWY-5920",0.00678,0.005869,90.6,0.006538,0.005723,90.8,0.007961,0.006455,89.7
"274","p345","PWY-7237","myo-, chiro- and scyllo-inositol degradation","myo-, chiro- and scyllo-inositol degradation (PWY-7237)","PWY-7237",0.006753,0.013251,34.3,0.006844,0.013676,35.3,0.006309,0.011034,29.3
"420","p66","HISDEG-PWY","L-histidine degradation I","L-histidine degradation I (HISDEG-PWY)","HISDEG-PWY",0.006714,0.009479,91.2,0.006569,0.009725,90.5,0.007419,0.008217,94.8
"390","p45","GALACTUROCAT-PWY","D-galacturonate degradation I","D-galacturonate degradation I (GALACTUROCAT-PWY)","GALACTUROCAT-PWY",0.006681,0.005715,89.1,0.00643,0.005717,89.8,0.007907,0.005597,86.2
"292","p361","PWY-7323","superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis (PWY-7323)","PWY-7323",0.006655,0.006303,84.5,0.006111,0.005997,83.7,0.009307,0.007104,87.9
"79","p17","AST-PWY","L-arginine degradation II (AST pathway)","L-arginine degradation II (AST pathway) (AST-PWY)","AST-PWY",0.006484,0.007136,89.7,0.006487,0.007387,89.8,0.00647,0.005812,89.7
"55","p148","PWY-5083","NAD(P)/NADPH interconversion","NAD(P)/NADPH interconversion (PWY-5083)","PWY-5083",0.006401,0.005859,88.9,0.006304,0.005903,88.7,0.006871,0.005669,89.7
"404","p51","GLUCUROCAT-PWY","superpathway of &beta;-D-glucuronosides degradation","superpathway of beta-D-glucuronosides degradation (GLUCUROCAT-PWY)","GLUCUROCAT-PWY",0.006354,0.005593,86.8,0.005916,0.005392,86.9,0.008493,0.006096,86.2
"328","p394","PWY0-1277","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation (PWY0-1277)","PWY0-1277",0.006291,0.006536,85,0.006191,0.006461,85.2,0.006777,0.006926,84.5
"75","p166","PWY-5265","peptidoglycan biosynthesis II (staphylococci)","peptidoglycan biosynthesis II (staphylococci) (PWY-5265)","PWY-5265",0.006226,0.008964,72.7,0.00652,0.009041,76.3,0.004791,0.008505,55.2
"188","p268","PWY-6507","4-deoxy-L-threo-hex-4-enopyranuronate degradation","4-deoxy-L-threo-hex-4-enopyranuronate degradation (PWY-6507)","PWY-6507",0.006204,0.005295,89.1,0.005894,0.005208,89.8,0.007712,0.005496,86.2
