"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B12.F13",0.338,0.338,199,0.3874,0.37626028879003,50,"module4"
"B12.F23",0.3598,0.3598,199,0.3261,0.268509190689263,50,"module4"
"B12.F33",0.3116,0.3116,199,0.4484,0.399130347862591,50,"module4"
"B12.F43",0.3097,0.3097,199,0.4862,0.421259470599206,50,"module4"
"B12.F53",0.4623,0.4623,200,0.0973,0.0685750244939651,49,"module4"
"B13.F13",0.3041,0.3041,200,0.5986,0.543331545069988,49,"module4"
"B13.F23",0.3375,0.3375,199,0.3814,0.393301300919119,50,"module4"
"B13.F33",0.3153,0.3153,199,0.4636,0.428469873890436,50,"module4"
"B13.F43",0.3503,0.3503,199,0.3333,0.27341245300429,50,"module4"
"B13.F53",0.4434,0.4434,199,0.1398,0.137870042100534,50,"module4"
"B14.F13",0.3653,0.3653,199,0.2999,0.32328368982777,50,"module4"
"B14.F23",0.2879,0.2879,199,0.5594,0.505542701724632,50,"module4"
"B14.F33",0.3777,0.3777,199,0.319,0.303363968721997,50,"module4"
"B14.F43",0.4062,0.4062,199,0.2424,0.186352904737131,50,"module4"
"B14.F53",0.34,0.34,200,0.3656,0.316165900969883,49,"module4"
"B15.F13",0.3417,0.3417,199,0.3847,0.368930813641815,50,"module4"
"B15.F23",0.3678,0.3678,199,0.3434,0.306144446592523,50,"module4"
"B15.F33",0.4221,0.4221,199,0.1987,0.140125326455875,50,"module4"
"B15.F43",0.3331,0.3331,199,0.3882,0.371421898629582,50,"module4"
"B15.F53",0.2992,0.2992,200,0.4859,0.524266191622131,49,"module4"
"B16.F13",0.3691,0.3691,199,0.2764,0.246850241395259,50,"module4"
"B16.F23",0.3173,0.3173,199,0.4632,0.440628136275455,50,"module4"
"B16.F33",0.3492,0.3492,200,0.3829,0.337217735715328,49,"module4"
"B16.F43",0.3437,0.3437,199,0.3761,0.340873531226289,50,"module4"
"B16.F53",0.3372,0.3372,199,0.4526,0.42608966122472,50,"module4"
"B17.F13",0.3582,0.3582,199,0.3574,0.384351234330404,50,"module4"
"B17.F23",0.3312,0.3312,200,0.3658,0.310812796030843,49,"module4"
"B17.F33",0.401,0.401,199,0.2479,0.227429335947943,50,"module4"
"B17.F43",0.3195,0.3195,199,0.4703,0.464029250372588,50,"module4"
"B17.F53",0.3513,0.3513,199,0.3864,0.336999925493815,50,"module4"
"B18.F13",0.3037,0.3037,199,0.4851,0.401825944063624,50,"module4"
"B18.F23",0.3778,0.3778,199,0.316,0.28031925409193,50,"module4"
"B18.F33",0.3711,0.3711,199,0.3293,0.297782669669376,50,"module4"
"B18.F43",0.3961,0.3961,199,0.2466,0.224730039537905,50,"module4"
"B18.F53",0.2956,0.2956,200,0.5416,0.542374808908418,49,"module4"
"B19.F13",0.3072,0.3072,199,0.4559,0.430095067927503,50,"module4"
"B19.F23",0.3198,0.3198,200,0.4387,0.438387967003731,49,"module4"
"B19.F33",0.3365,0.3365,199,0.4177,0.366567275480657,50,"module4"
"B19.F43",0.426,0.426,199,0.1871,0.155838171461808,50,"module4"
"B19.F53",0.35,0.35,199,0.3539,0.322313525150057,50,"module4"
"B20.F13",0.3682,0.3682,200,0.2932,0.307093702445227,49,"module4"
"B20.F23",0.3783,0.3783,199,0.3046,0.2547681873039,50,"module4"
"B20.F33",0.3579,0.3579,199,0.3447,0.305825276902398,50,"module4"
"B20.F43",0.3159,0.3159,199,0.3901,0.327535509324626,50,"module4"
"B20.F53",0.3342,0.3342,199,0.4546,0.441396436873235,50,"module4"
"B1.F14",0.1343,0.1343,106,0.1026,0.0614361896413178,27,"module4_exposed"
"B1.F24",0.0544,0.0544,107,0.3053,0.288568639143195,26,"module4_exposed"
"B1.F34",0.0592,0.0592,106,0.2714,0.285117859239997,27,"module4_exposed"
"B1.F44",0.1102,0.1102,107,0.0542,0.00333827160493827,26,"module4_exposed"
"B1.F54",0.1698,0.1698,106,0.052,0.0229232170624112,27,"module4_exposed"
"B2.F14",0.1905,0.1905,106,0.0138,0.00582360930346278,27,"module4_exposed"
"B2.F24",0.0922,0.0922,107,0.2668,0.151633691284973,26,"module4_exposed"
"B2.F34",0.141,0.141,106,0.0998,0.135970934505733,27,"module4_exposed"
"B2.F44",0.0581,0.0581,107,0.1847,0.164462216609959,26,"module4_exposed"
"B2.F54",0.0653,0.0653,106,0.2469,0.139596667069195,27,"module4_exposed"
"B3.F14",0.1058,0.1058,106,0.1412,0.033767988896194,27,"module4_exposed"
"B3.F24",0.0917,0.0917,107,0.1711,0.0862451311271824,26,"module4_exposed"
"B3.F34",0.1072,0.1072,106,0.1134,0.0510865119667076,27,"module4_exposed"
"B3.F44",0.0585,0.0585,106,0.1471,0.0702023522536343,27,"module4_exposed"
"B3.F54",0.1563,0.1563,107,0.0109,0.0397269632551684,26,"module4_exposed"
"B4.F14",0.119,0.119,106,0.0239,0.0106449987402368,27,"module4_exposed"
"B4.F24",0.1097,0.1097,107,0.3169,0.205201256483308,26,"module4_exposed"
"B4.F34",0.1524,0.1524,106,0.0357,0.0212961254182628,27,"module4_exposed"
"B4.F44",0.062,0.062,106,0.3111,0.238535037069836,27,"module4_exposed"
"B4.F54",0.1005,0.1005,107,0.1602,0.081884023668639,26,"module4_exposed"
"B5.F14",0.1948,0.1948,106,0,0,27,"module4_exposed"
"B5.F24",0.1329,0.1329,106,0.0364,0.00794470757840721,27,"module4_exposed"
"B5.F34",0.0777,0.0777,107,0.1245,0.121842764263277,26,"module4_exposed"
"B5.F44",0.1272,0.1272,106,0.124,0.0423284150390377,27,"module4_exposed"
"B5.F54",0.0452,0.0452,107,0.1374,0.176543618964132,26,"module4_exposed"
"B6.F14",0.1618,0.1618,106,0.1015,0.0721568487136253,27,"module4_exposed"
"B6.F24",0.0888,0.0888,106,0.23,0.133729077868272,27,"module4_exposed"
"B6.F34",0.1061,0.1061,107,0.0194,0.000463905325443787,26,"module4_exposed"
"B6.F44",0.1385,0.1385,107,0.0994,0.0645246840528892,26,"module4_exposed"
"B6.F54",0.048,0.048,106,0.3277,0.297218010587974,27,"module4_exposed"
"B7.F14",0.132,0.132,107,0.1134,0.0757425670246183,26,"module4_exposed"
"B7.F24",0.0719,0.0719,106,0.4214,0.377947212196296,27,"module4_exposed"
"B7.F34",0.0854,0.0854,106,0.2212,0.262359096608181,27,"module4_exposed"
"B7.F44",0.127,0.127,107,0.0228,0.000844473664986485,26,"module4_exposed"
"B7.F54",0.0414,0.0414,106,0.2882,0.302567158794265,27,"module4_exposed"
"B8.F14",0.1015,0.1015,106,0.0948,0.119400203649288,27,"module4_exposed"
"B8.F24",0.215,0.215,107,0,0.00510552998758127,26,"module4_exposed"
"B8.F34",0.194,0.194,107,0.0019,0.0221170282708744,26,"module4_exposed"
"B8.F44",0.0966,0.0966,106,0.1727,0.14792899408284,27,"module4_exposed"
"B8.F54",0.0089,0.0089,106,0.3579,0.379449982929836,27,"module4_exposed"
"B9.F14",0.2276,0.2276,106,0.0095,0.000596337592674589,27,"module4_exposed"
"B9.F24",0.067,0.067,106,0.2219,0.192735881590843,27,"module4_exposed"
"B9.F34",0.0374,0.0374,107,0.3812,0.332643027248155,26,"module4_exposed"
"B9.F44",0.1483,0.1483,107,1e-04,0.0244107239389291,26,"module4_exposed"
"B9.F54",0.0835,0.0835,106,0.3177,0.311361274731238,27,"module4_exposed"
"B10.F14",0.1707,0.1707,106,0.1131,0.0758097891797525,27,"module4_exposed"
"B10.F24",0.1711,0.1711,106,0.0136,0.0124817185256746,27,"module4_exposed"
"B10.F34",0.0326,0.0326,106,0.214,0.17642051341685,27,"module4_exposed"
"B10.F44",0.1065,0.1065,107,0.0432,0.0513777777777778,26,"module4_exposed"
"B10.F54",0.0861,0.0861,107,0.257,0.114827013691583,26,"module4_exposed"
"B11.F14",0.171,0.171,107,0.0227,0.0148965154503616,26,"module4_exposed"
"B11.F24",0.0307,0.0307,107,0.3822,0.323356250073076,26,"module4_exposed"
"B11.F34",0.1319,0.1319,106,0.0537,0.00062652718330374,27,"module4_exposed"
"B11.F44",0.1304,0.1304,106,0.0902,0.0935508325618215,27,"module4_exposed"
"B11.F54",0.0658,0.0658,106,0.2886,0.261734060268859,27,"module4_exposed"
"B12.F14",0.0565,0.0565,107,0.3112,0.159726612608664,26,"module4_exposed"
"B12.F24",0.1015,0.1015,106,0.2061,0.0840929183420026,27,"module4_exposed"
"B12.F34",0.1373,0.1373,107,0.0377,0.00540287822339104,26,"module4_exposed"
"B12.F44",0.0452,0.0452,106,0.1174,0.128862590401052,27,"module4_exposed"
"B12.F54",0.1604,0.1604,106,0.0236,0.0543874792959042,27,"module4_exposed"
"B13.F14",0.0692,0.0692,107,0.1206,0.0826685367813573,26,"module4_exposed"
"B13.F24",0.1601,0.1601,106,0.0424,0.00108682526264944,27,"module4_exposed"
"B13.F34",0.117,0.117,106,0.0706,0.0223788086383506,27,"module4_exposed"
"B13.F44",0.0989,0.0989,107,0.1133,0.10287324470635,26,"module4_exposed"
"B13.F54",0.1122,0.1122,106,0.1969,0.0475016436554898,27,"module4_exposed"
"B14.F14",0.0949,0.0949,106,0.0554,0.0778403186828095,27,"module4_exposed"
"B14.F24",0.1026,0.1026,106,0.1394,0.148869716635284,27,"module4_exposed"
"B14.F34",0.1121,0.1121,107,0.1667,0.0963980965075356,26,"module4_exposed"
"B14.F44",0.0583,0.0583,106,0.3128,0.270552402420534,27,"module4_exposed"
"B14.F54",0.151,0.151,107,0.036,1.97530864197531e-05,26,"module4_exposed"
"B15.F14",0.1092,0.1092,106,0.12,0.144195920752697,27,"module4_exposed"
"B15.F24",0.1657,0.1657,106,0.0419,0.0020964993492466,27,"module4_exposed"
"B15.F34",0.0287,0.0287,107,0.3778,0.376306429548564,26,"module4_exposed"
"B15.F44",0.133,0.133,107,0.0958,0.188222485207101,26,"module4_exposed"
"B15.F54",0.0946,0.0946,106,0.2029,0.1862992183505,27,"module4_exposed"
"B16.F14",0.14,0.14,107,0.0111,0.00213090602967484,26,"module4_exposed"
"B16.F24",0.0722,0.0722,106,0.1892,0.0894879100007305,27,"module4_exposed"
"B16.F34",0.1171,0.1171,106,0.0906,0.0584470474580364,27,"module4_exposed"
"B16.F44",0.1779,0.1779,107,0.0052,0.00701585214405727,26,"module4_exposed"
"B16.F54",0.0139,0.0139,106,0.3006,0.300555637551975,27,"module4_exposed"
"B17.F14",0.0471,0.0471,106,0.331,0.262126499454744,27,"module4_exposed"
"B17.F24",0.1094,0.1094,106,0.0852,0.0561094040947521,27,"module4_exposed"
"B17.F34",0.1432,0.1432,107,2e-04,0.00245744758565271,26,"module4_exposed"
"B17.F44",0.0861,0.0861,107,0.2756,0.221377576671694,26,"module4_exposed"
"B17.F54",0.125,0.125,106,0.1022,0.0535365800933566,27,"module4_exposed"
"B18.F14",0.0663,0.0663,107,0.2729,0.430425714076996,26,"module4_exposed"
"B18.F24",0.1011,0.1011,106,0.1103,0.0670044919129168,27,"module4_exposed"
"B18.F34",0.1126,0.1126,107,0.1259,0.0413792095843378,26,"module4_exposed"
"B18.F44",0.1361,0.1361,106,0.1778,0.0945156539813028,27,"module4_exposed"
"B18.F54",0.1206,0.1206,106,0.1245,0.118383897696875,27,"module4_exposed"
"B19.F14",0.084,0.084,106,0.2464,0.109489072859036,27,"module4_exposed"
"B19.F24",0.0929,0.0929,107,0.1944,0.0733410501946754,26,"module4_exposed"
"B19.F34",0.1454,0.1454,107,0.0812,0.0352284023668639,26,"module4_exposed"
"B19.F44",0.0849,0.0849,106,0.0758,0.169313660156151,27,"module4_exposed"
"B19.F54",0.1129,0.1129,106,0.049,0.0935508325618215,27,"module4_exposed"
"B20.F14",0.1041,0.1041,106,0.1484,0.1373249935521,27,"module4_exposed"
"B20.F24",0.0989,0.0989,107,0.0879,0.0523119000657462,26,"module4_exposed"
"B20.F34",0.0797,0.0797,106,0.2132,0.18577257771397,27,"module4_exposed"
"B20.F44",0.1605,0.1605,107,0.0336,0.010452956376349,26,"module4_exposed"
"B20.F54",0.1539,0.1539,106,0.0484,0.0464431444284924,27,"module4_exposed"
"B1.F15",0.0042,0.0042,93,0.0194,0.0340047580296941,23,"module4_unexposed"
"B1.F25",0.0011,0.0011,92,0.0084,0.0273562565122667,24,"module4_unexposed"
"B1.F35",0.003,0.003,93,0.005,0.00365131824265713,23,"module4_unexposed"
"B1.F45",0.0131,0.0131,93,0.0343,0.00542208280661718,23,"module4_unexposed"
"B1.F55",0.0188,0.0188,93,0.0195,0.0164529708538192,23,"module4_unexposed"
"B2.F15",0.0189,0.0189,92,0.1655,0.138017515306518,24,"module4_unexposed"
"B2.F25",0.0102,0.0102,93,0.0641,0.0473525613430908,23,"module4_unexposed"
"B2.F35",0.005,0.005,93,0.0144,0.0332803510894181,23,"module4_unexposed"
"B2.F45",0.0177,0.0177,93,0.0286,0.00113098266348374,23,"module4_unexposed"
"B2.F55",0.0055,0.0055,93,0.0128,0.00355021182930581,23,"module4_unexposed"
"B3.F15",0.0083,0.0083,93,0.0511,0.101615938084306,23,"module4_unexposed"
"B3.F25",0.0264,0.0264,93,0,0.014324149806285,23,"module4_unexposed"
"B3.F35",7e-04,7e-04,92,0.015,0.0210997442455243,24,"module4_unexposed"
"B3.F45",0.0082,0.0082,93,0.0368,0.0147026334393779,23,"module4_unexposed"
"B3.F55",0.0262,0.0262,93,0.0735,0.0621296912299926,23,"module4_unexposed"
"B4.F15",0.0041,0.0041,93,0.0229,0.00663100676118119,23,"module4_unexposed"
"B4.F25",7e-04,7e-04,93,0.0112,0.000316518144109539,23,"module4_unexposed"
"B4.F35",0.0543,0.0543,93,0.1192,0.173784504643465,23,"module4_unexposed"
"B4.F45",0.0204,0.0204,93,8e-04,9.93607131714548e-05,23,"module4_unexposed"
"B4.F55",0.0079,0.0079,92,0.0193,0.0176231884057971,24,"module4_unexposed"
"B5.F15",0.0136,0.0136,93,0.0254,0.0197863964108945,23,"module4_unexposed"
"B5.F25",2e-04,2e-04,93,0.0063,0.0229562991711329,23,"module4_unexposed"
"B5.F35",0.0026,0.0026,93,0.0389,0.0087137977010406,23,"module4_unexposed"
"B5.F45",1e-04,1e-04,92,0.0028,0.0551587241313841,24,"module4_unexposed"
"B5.F55",0.0131,0.0131,93,0.0079,0.0127998954725297,23,"module4_unexposed"
"B6.F15",0.0289,0.0289,93,0.0881,0.164715487322857,23,"module4_unexposed"
"B6.F25",0.016,0.016,93,2e-04,0.00466459826150579,23,"module4_unexposed"
"B6.F35",0.002,0.002,93,0.0102,0.0281922294923677,23,"module4_unexposed"
"B6.F45",0.0072,0.0072,93,0.0404,0.0184175200474151,23,"module4_unexposed"
"B6.F55",1e-04,1e-04,92,7e-04,1.89861401177141e-07,24,"module4_unexposed"
"B7.F15",0.004,0.004,92,0.0276,0.0281422061894817,24,"module4_unexposed"
"B7.F25",0.0021,0.0021,93,2e-04,0.00224182609093095,23,"module4_unexposed"
"B7.F35",9e-04,9e-04,93,1e-04,0.00108203816643714,23,"module4_unexposed"
"B7.F45",0.013,0.013,93,0.0039,0.00885599224401521,23,"module4_unexposed"
"B7.F55",0.002,0.002,93,0.0039,0.000666650887947425,23,"module4_unexposed"
"B8.F15",6e-04,6e-04,93,0.0171,0.0383745720007752,23,"module4_unexposed"
"B8.F25",0.0188,0.0188,93,0.1008,0.067363387319644,23,"module4_unexposed"
"B8.F35",3e-04,3e-04,93,0.0128,0.0142008473172233,23,"module4_unexposed"
"B8.F45",0.0038,0.0038,92,0.026,0.0031594835769888,24,"module4_unexposed"
"B8.F55",0.0256,0.0256,93,0.1261,0.257424729291737,23,"module4_unexposed"
"B9.F15",0.0153,0.0153,93,0.0021,0.00401929575972147,23,"module4_unexposed"
"B9.F25",0.0063,0.0063,92,0.0311,0.0124973302822273,24,"module4_unexposed"
"B9.F35",0.0229,0.0229,93,0.0153,0.00114323988427529,23,"module4_unexposed"
"B9.F45",4e-04,4e-04,93,0.0017,0.0232142472597282,23,"module4_unexposed"
"B9.F55",0.0337,0.0337,93,0.1213,0.185843763998271,23,"module4_unexposed"
"B10.F15",0.0242,0.0242,93,0.0282,0.046634036055909,23,"module4_unexposed"
"B10.F25",2e-04,2e-04,93,0,0.00469515514425694,23,"module4_unexposed"
"B10.F35",6e-04,6e-04,93,0.011,0.0124192412009216,23,"module4_unexposed"
"B10.F45",0.0129,0.0129,92,0.002,1.58923245958248e-05,24,"module4_unexposed"
"B10.F55",0.0022,0.0022,93,2e-04,0.00330100364641187,23,"module4_unexposed"
"B11.F15",0.0052,0.0052,92,0.0105,0.00297915213516236,24,"module4_unexposed"
"B11.F25",5e-04,5e-04,93,0.0079,0.00647026105890985,23,"module4_unexposed"
"B11.F35",1e-04,1e-04,93,0.0058,0.0303959241828937,23,"module4_unexposed"
"B11.F45",0.0034,0.0034,93,0.003,0.00130730145895726,23,"module4_unexposed"
"B11.F55",0.0044,0.0044,93,6e-04,0.0104622770269737,23,"module4_unexposed"
"B12.F15",0,0,93,0.0061,3.91343482174304e-06,23,"module4_unexposed"
"B12.F25",0.0472,0.0472,93,0.1712,0.0995425794144545,23,"module4_unexposed"
"B12.F35",0.0142,0.0142,93,0.0557,0.108159876909067,23,"module4_unexposed"
"B12.F45",0.0089,0.0089,92,0.0051,0.00737422017468087,24,"module4_unexposed"
"B12.F55",0,0,93,0.0298,0.0361968236828165,23,"module4_unexposed"
"B13.F15",0.0036,0.0036,93,0.0153,0.0238802689474077,23,"module4_unexposed"
"B13.F25",0,0,93,0.0024,8.78782671186864e-06,23,"module4_unexposed"
"B13.F35",0.0114,0.0114,92,0.1247,0.0965736650391382,24,"module4_unexposed"
"B13.F45",2e-04,2e-04,93,0.0014,0.0117166852066618,23,"module4_unexposed"
"B13.F55",1e-04,1e-04,93,0.0167,0.019259861048857,23,"module4_unexposed"
"B14.F15",0,0,93,0.0101,0.0631197902398935,23,"module4_unexposed"
"B14.F25",0.0436,0.0436,93,0.0548,0.104315227578338,23,"module4_unexposed"
"B14.F35",0.0069,0.0069,93,2e-04,0.00217844942526015,23,"module4_unexposed"
"B14.F45",0.027,0.027,92,0.0355,0.031832298136646,24,"module4_unexposed"
"B14.F55",0.0015,0.0015,93,0.0036,0.00233721237557555,23,"module4_unexposed"
"B15.F15",4e-04,4e-04,93,0,0.000134793004829106,23,"module4_unexposed"
"B15.F25",8e-04,8e-04,93,1e-04,6.24912121732881e-05,23,"module4_unexposed"
"B15.F35",0.0142,0.0142,93,0.0047,0.00318815720784548,23,"module4_unexposed"
"B15.F45",0.0018,0.0018,92,0.0663,0.0795152249659142,24,"module4_unexposed"
"B15.F55",0.0359,0.0359,93,0.1554,0.191569110427426,23,"module4_unexposed"
"B16.F15",0.0013,0.0013,93,3e-04,0.00120805819191656,23,"module4_unexposed"
"B16.F25",0.0175,0.0175,93,0.1772,0.221359771231894,23,"module4_unexposed"
"B16.F35",0.0298,0.0298,93,0.0695,0.177142581702497,23,"module4_unexposed"
"B16.F45",0.0347,0.0347,93,0.0252,0.0161574085031518,23,"module4_unexposed"
"B16.F55",0.0015,0.0015,92,0.0028,0.00387064412939373,24,"module4_unexposed"
"B17.F15",0.0013,0.0013,92,0,0.00529504461742928,24,"module4_unexposed"
"B17.F25",4e-04,4e-04,93,0.0011,0.0045600498607528,23,"module4_unexposed"
"B17.F35",9e-04,9e-04,93,7e-04,0.00212490761271249,23,"module4_unexposed"
"B17.F45",7e-04,7e-04,93,0.0074,0.00676273854023214,23,"module4_unexposed"
"B17.F55",4e-04,4e-04,93,0.0062,4.79395765663523e-05,23,"module4_unexposed"
"B18.F15",0.0375,0.0375,92,0.0676,0.0420431903253671,24,"module4_unexposed"
"B18.F25",4e-04,4e-04,93,0.0062,0.000742087992746427,23,"module4_unexposed"
"B18.F35",0.0085,0.0085,93,0.0208,0.00361515472862238,23,"module4_unexposed"
"B18.F45",0.0192,0.0192,93,0.0683,0.0952151638137778,23,"module4_unexposed"
"B18.F55",0.0375,0.0375,93,0.0691,0.0363623116445749,23,"module4_unexposed"
"B19.F15",0.0023,0.0023,93,2e-04,0.00180898524635072,23,"module4_unexposed"
"B19.F25",0.0178,0.0178,93,0.0028,0.00806914958640642,23,"module4_unexposed"
"B19.F35",0.0067,0.0067,93,0.0079,0.000829368930123942,23,"module4_unexposed"
"B19.F45",0.02,0.02,92,0.0569,0.0179639448568399,24,"module4_unexposed"
"B19.F55",0.0023,0.0023,93,0.0384,0.0329122426309127,23,"module4_unexposed"
"B20.F15",0.0083,0.0083,93,0.016,0.000166662721986856,23,"module4_unexposed"
"B20.F25",0.0154,0.0154,93,0.0276,0.00759898104572341,23,"module4_unexposed"
"B20.F35",0.0732,0.0732,93,0.1479,0.166584814560602,23,"module4_unexposed"
"B20.F45",4e-04,4e-04,92,0.0178,0.00995652173913044,24,"module4_unexposed"
"B20.F55",0,0,93,0.0276,0.0280064028407083,23,"module4_unexposed"
