feature_id,feature,feature_description,feature_full
p233,PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,superpathway of guanosine nucleotides de novo biosynthesis II (PWY-6125)
p234,PWY-6126,superpathway of adenosine nucleotides de novo biosynthesis II,superpathway of adenosine nucleotides de novo biosynthesis II (PWY-6126)
p235,PWY-6138,CMP-N-acetylneuraminate biosynthesis I (eukaryotes),CMP-N-acetylneuraminate biosynthesis I (eukaryotes) (PWY-6138)
p236,PWY-6143,CMP-pseudaminate biosynthesis,CMP-pseudaminate biosynthesis (PWY-6143)
p237,PWY-6145,superpathway of CMP-sialic acids biosynthesis,superpathway of CMP-sialic acids biosynthesis (PWY-6145)
p238,PWY-6147,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I (PWY-6147)
p239,PWY-6151,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine salvage I (PWY-6151)
p240,PWY-6163,chorismate biosynthesis from 3-dehydroquinate,chorismate biosynthesis from 3-dehydroquinate (PWY-6163)
p241,PWY-6168,flavin biosynthesis III (fungi),flavin biosynthesis III (fungi) (PWY-6168)
p242,PWY-6182,superpathway of salicylate degradation,superpathway of salicylate degradation (PWY-6182)
p243,PWY-6185,4-methylcatechol degradation (ortho cleavage),4-methylcatechol degradation (ortho cleavage) (PWY-6185)
p244,PWY-6210,2-aminophenol degradation,2-aminophenol degradation (PWY-6210)
p245,PWY-6215,4-chlorobenzoate degradation,4-chlorobenzoate degradation (PWY-6215)
p246,PWY-622,starch biosynthesis,starch biosynthesis (PWY-622)
p247,PWY-6263,superpathway of menaquinol-8 biosynthesis II,superpathway of menaquinol-8 biosynthesis II (PWY-6263)
p248,PWY-6270,isoprene biosynthesis I,isoprene biosynthesis I (PWY-6270)
p249,PWY-6277,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,superpathway of 5-aminoimidazole ribonucleotide biosynthesis (PWY-6277)
p250,PWY-6282,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) (PWY-6282)
p251,PWY-6284,superpathway of unsaturated fatty acids biosynthesis (E. coli),superpathway of unsaturated fatty acids biosynthesis (E. coli) (PWY-6284)
p252,PWY-6285,superpathway of fatty acids biosynthesis (E. coli),superpathway of fatty acids biosynthesis (E. coli) (PWY-6285)
p253,PWY-6305,superpathway of putrescine biosynthesis,superpathway of putrescine biosynthesis (PWY-6305)
p254,PWY-6307,"L-tryptophan degradation X (mammalian, via tryptamine)","L-tryptophan degradation X (mammalian, via tryptamine) (PWY-6307)"
p255,PWY-6313,serotonin degradation,serotonin degradation (PWY-6313)
p256,PWY-6317,D-galactose degradation I (Leloir pathway),D-galactose degradation I (Leloir pathway) (PWY-6317)
p257,PWY-6318,"L-phenylalanine degradation IV (mammalian, via side chain)","L-phenylalanine degradation IV (mammalian, via side chain) (PWY-6318)"
p258,PWY-6353,purine nucleotides degradation II (aerobic),purine nucleotides degradation II (aerobic) (PWY-6353)
p259,PWY-6385,peptidoglycan biosynthesis III (mycobacteria),peptidoglycan biosynthesis III (mycobacteria) (PWY-6385)
p260,PWY-6386,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing) (PWY-6386)
p261,PWY-6387,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing) (PWY-6387)
p262,PWY-6396,"superpathway of 2,3-butanediol biosynthesis","superpathway of 2,3-butanediol biosynthesis (PWY-6396)"
p263,PWY-6435,4-hydroxybenzoate biosynthesis III (plants),4-hydroxybenzoate biosynthesis III (plants) (PWY-6435)
p264,PWY-6467,Kdo transfer to lipid IVA III (Chlamydia),Kdo transfer to lipid IVA III (Chlamydia) (PWY-6467)
p265,PWY-6470,peptidoglycan biosynthesis V (&beta;-lactam resistance),peptidoglycan biosynthesis V (beta-lactam resistance) (PWY-6470)
p266,PWY-6471,peptidoglycan biosynthesis IV (Enterococcus faecium),peptidoglycan biosynthesis IV (Enterococcus faecium) (PWY-6471)
p267,PWY-6478,GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,GDP-D-glycero-alpha-D-manno-heptose biosynthesis (PWY-6478)
p268,PWY-6507,4-deoxy-L-threo-hex-4-enopyranuronate degradation,4-deoxy-L-threo-hex-4-enopyranuronate degradation (PWY-6507)
p269,PWY-6519,8-amino-7-oxononanoate biosynthesis I,8-amino-7-oxononanoate biosynthesis I (PWY-6519)
p270,PWY-6527,stachyose degradation,stachyose degradation (PWY-6527)
p271,PWY-6531,mannitol cycle,mannitol cycle (PWY-6531)
p272,PWY-6538,"caffeine degradation III (bacteria, via demethylation)","caffeine degradation III (bacteria, via demethylation) (PWY-6538)"
p273,PWY-6545,pyrimidine deoxyribonucleotides de novo biosynthesis III,pyrimidine deoxyribonucleotides de novo biosynthesis III (PWY-6545)
p274,PWY-6549,L-glutamine biosynthesis III,L-glutamine biosynthesis III (PWY-6549)
p275,PWY-6562,norspermidine biosynthesis,norspermidine biosynthesis (PWY-6562)
p276,PWY-6565,superpathway of polyamine biosynthesis III,superpathway of polyamine biosynthesis III (PWY-6565)
p277,PWY-6572,chondroitin sulfate degradation I (bacterial),chondroitin sulfate degradation I (bacterial) (PWY-6572)
p278,PWY-6588,pyruvate fermentation to acetone,pyruvate fermentation to acetone (PWY-6588)
p279,PWY-6590,superpathway of Clostridium acetobutylicum acidogenic fermentation,superpathway of Clostridium acetobutylicum acidogenic fermentation (PWY-6590)
p280,PWY-6595,superpathway of guanosine nucleotides degradation (plants),superpathway of guanosine nucleotides degradation (plants) (PWY-6595)
p281,PWY-6606,guanosine nucleotides degradation II,guanosine nucleotides degradation II (PWY-6606)
p282,PWY-6608,guanosine nucleotides degradation III,guanosine nucleotides degradation III (PWY-6608)
p283,PWY-6609,adenine and adenosine salvage III,adenine and adenosine salvage III (PWY-6609)
p284,PWY-6612,superpathway of tetrahydrofolate biosynthesis,superpathway of tetrahydrofolate biosynthesis (PWY-6612)
p285,PWY-6630,superpathway of L-tyrosine biosynthesis,superpathway of L-tyrosine biosynthesis (PWY-6630)
p286,PWY-6660,2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis,2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis (PWY-6660)
p287,PWY-6690,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate (PWY-6690)
p288,PWY-6700,queuosine biosynthesis I (de novo),queuosine biosynthesis I (de novo) (PWY-6700)
p289,PWY-6703,preQ0 biosynthesis,preQ0 biosynthesis (PWY-6703)
p290,PWY-6708,ubiquinol-8 biosynthesis (early decarboxylation),ubiquinol-8 biosynthesis (early decarboxylation) (PWY-6708)
p291,PWY-6731,starch degradation III,starch degradation III (PWY-6731)
p292,PWY-6737,starch degradation V,starch degradation V (PWY-6737)
p293,PWY-6748,nitrate reduction VII (denitrification),nitrate reduction VII (denitrification) (PWY-6748)
p294,PWY-6749,CMP-legionaminate biosynthesis I,CMP-legionaminate biosynthesis I (PWY-6749)
p295,PWY-6763,salicortin biosynthesis,salicortin biosynthesis (PWY-6763)
p296,PWY-6785,hydrogen production VIII,hydrogen production VIII (PWY-6785)
p297,PWY-6797,6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus),6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus) (PWY-6797)
p298,PWY-6803,phosphatidylcholine acyl editing,phosphatidylcholine acyl editing (PWY-6803)
p299,PWY-6823,molybdopterin biosynthesis,molybdopterin biosynthesis (PWY-6823)
p300,PWY-6859,all-trans-farnesol biosynthesis,all-trans-farnesol biosynthesis (PWY-6859)
p301,PWY-6863,pyruvate fermentation to hexanol (engineered),pyruvate fermentation to hexanol (engineered) (PWY-6863)
p302,PWY-6876,isopropanol biosynthesis (engineered),isopropanol biosynthesis (engineered) (PWY-6876)
p303,PWY-6892,thiazole component of thiamine diphosphate biosynthesis I,thiazole component of thiamine diphosphate biosynthesis I (PWY-6892)
p304,PWY-6897,thiamine diphosphate salvage II,thiamine diphosphate salvage II (PWY-6897)
p305,PWY-6901,superpathway of glucose and xylose degradation,superpathway of glucose and xylose degradation (PWY-6901)
p306,PWY-6906,chitin derivatives degradation,chitin derivatives degradation (PWY-6906)
p307,PWY-6936,seleno-amino acid biosynthesis (plants),seleno-amino acid biosynthesis (plants) (PWY-6936)
p308,PWY-6953,dTDP-3-acetamido-&alpha;-D-fucose biosynthesis,dTDP-3-acetamido-alpha-D-fucose biosynthesis (PWY-6953)
p309,PWY-6957,mandelate degradation to acetyl-CoA,mandelate degradation to acetyl-CoA (PWY-6957)
p310,PWY-6969,TCA cycle V (2-oxoglutarate synthase),TCA cycle V (2-oxoglutarate synthase) (PWY-6969)
p311,PWY-7003,glycerol degradation to butanol,glycerol degradation to butanol (PWY-7003)
p312,PWY-7013,"(S)-propane-1,2-diol degradation","(S)-propane-1,2-diol degradation (PWY-7013)"
p313,PWY-7031,protein N-glycosylation (bacterial),protein N-glycosylation (bacterial) (PWY-7031)
p314,PWY-7039,"phosphatidate metabolism, as a signaling molecule","phosphatidate metabolism, as a signaling molecule (PWY-7039)"
p315,PWY-7090,"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis","UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate biosynthesis (PWY-7090)"
p316,PWY-7094,fatty acid salvage,fatty acid salvage (PWY-7094)
p317,PWY-7111,pyruvate fermentation to isobutanol (engineered),pyruvate fermentation to isobutanol (engineered) (PWY-7111)
p318,PWY-7115,"C4 photosynthetic carbon assimilation cycle, NAD-ME type","C4 photosynthetic carbon assimilation cycle, NAD-ME type (PWY-7115)"
p319,PWY-7117,"C4 photosynthetic carbon assimilation cycle, PEPCK type","C4 photosynthetic carbon assimilation cycle, PEPCK type (PWY-7117)"
p320,PWY-7118,chitin deacetylation,chitin deacetylation (PWY-7118)
p321,PWY-7124,ethene biosynthesis V (engineered),ethene biosynthesis V (engineered) (PWY-7124)
p322,PWY-7165,L-ascorbate biosynthesis VIII (engineered pathway),L-ascorbate biosynthesis VIII (engineered pathway) (PWY-7165)
p323,PWY-7184,pyrimidine deoxyribonucleotides de novo biosynthesis I,pyrimidine deoxyribonucleotides de novo biosynthesis I (PWY-7184)
p324,PWY-7187,pyrimidine deoxyribonucleotides de novo biosynthesis II,pyrimidine deoxyribonucleotides de novo biosynthesis II (PWY-7187)
p325,PWY-7196,superpathway of pyrimidine ribonucleosides salvage,superpathway of pyrimidine ribonucleosides salvage (PWY-7196)
p326,PWY-7197,pyrimidine deoxyribonucleotide phosphorylation,pyrimidine deoxyribonucleotide phosphorylation (PWY-7197)
p327,PWY-7198,pyrimidine deoxyribonucleotides de novo biosynthesis IV,pyrimidine deoxyribonucleotides de novo biosynthesis IV (PWY-7198)
p328,PWY-7199,pyrimidine deoxyribonucleosides salvage,pyrimidine deoxyribonucleosides salvage (PWY-7199)
p329,PWY-7200,superpathway of pyrimidine deoxyribonucleoside salvage,superpathway of pyrimidine deoxyribonucleoside salvage (PWY-7200)
p330,PWY-7204,pyridoxal 5'-phosphate salvage II (plants),pyridoxal 5'-phosphate salvage II (plants) (PWY-7204)
p331,PWY-7208,superpathway of pyrimidine nucleobases salvage,superpathway of pyrimidine nucleobases salvage (PWY-7208)
p332,PWY-7209,superpathway of pyrimidine ribonucleosides degradation,superpathway of pyrimidine ribonucleosides degradation (PWY-7209)
p333,PWY-7210,pyrimidine deoxyribonucleotides biosynthesis from CTP,pyrimidine deoxyribonucleotides biosynthesis from CTP (PWY-7210)
p334,PWY-7211,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (PWY-7211)
p335,PWY-7218,photosynthetic 3-hydroxybutanoate biosynthesis (engineered),photosynthetic 3-hydroxybutanoate biosynthesis (engineered) (PWY-7218)
p336,PWY-7219,adenosine ribonucleotides de novo biosynthesis,adenosine ribonucleotides de novo biosynthesis (PWY-7219)
p337,PWY-7220,adenosine deoxyribonucleotides de novo biosynthesis II,adenosine deoxyribonucleotides de novo biosynthesis II (PWY-7220)
p338,PWY-7221,guanosine ribonucleotides de novo biosynthesis,guanosine ribonucleotides de novo biosynthesis (PWY-7221)
p339,PWY-7222,guanosine deoxyribonucleotides de novo biosynthesis II,guanosine deoxyribonucleotides de novo biosynthesis II (PWY-7222)
p340,PWY-7224,purine deoxyribonucleosides salvage,purine deoxyribonucleosides salvage (PWY-7224)
p341,PWY-7228,superpathway of guanosine nucleotides de novo biosynthesis I,superpathway of guanosine nucleotides de novo biosynthesis I (PWY-7228)
p342,PWY-7229,superpathway of adenosine nucleotides de novo biosynthesis I,superpathway of adenosine nucleotides de novo biosynthesis I (PWY-7229)
p343,PWY-7234,inosine-5'-phosphate biosynthesis III,inosine-5'-phosphate biosynthesis III (PWY-7234)
p344,PWY-7235,superpathway of ubiquinol-6 biosynthesis (late decarboxylation),superpathway of ubiquinol-6 biosynthesis (late decarboxylation) (PWY-7235)
p345,PWY-7237,"myo-, chiro- and scyllo-inositol degradation","myo-, chiro- and scyllo-inositol degradation (PWY-7237)"
p346,PWY-7242,D-fructuronate degradation,D-fructuronate degradation (PWY-7242)
p347,PWY-7245,superpathway of NAD/NADP - NADH/NADPH interconversion (yeast),superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) (PWY-7245)
p348,PWY-724,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II","superpathway of L-lysine, L-threonine and L-methionine biosynthesis II (PWY-724)"
p349,PWY-7254,TCA cycle VII (acetate-producers),TCA cycle VII (acetate-producers) (PWY-7254)
p350,PWY-7268,cytosolic NADPH production (yeast),cytosolic NADPH production (yeast) (PWY-7268)
p351,PWY-7269,mitochondrial NADPH production (yeast),mitochondrial NADPH production (yeast) (PWY-7269)
p352,PWY-7270,L-methionine salvage cycle II (plants),L-methionine salvage cycle II (plants) (PWY-7270)
p353,PWY-7279,aerobic respiration II (cytochrome c) (yeast),aerobic respiration II (cytochrome c) (yeast) (PWY-7279)
p354,PWY-7282,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II (PWY-7282)
p355,PWY-7290,Escherichia coli serotype O86 O-antigen biosynthesis,Escherichia coli serotype O86 O-antigen biosynthesis (PWY-7290)
p356,PWY-7294,D-xylose degradation IV,D-xylose degradation IV (PWY-7294)
p357,PWY-7312,dTDP-&beta;-D-fucofuranose biosynthesis,dTDP-beta-D-fucofuranose biosynthesis (PWY-7312)
p358,PWY-7315,dTDP-N-acetylthomosamine biosynthesis,dTDP-N-acetylthomosamine biosynthesis (PWY-7315)
p359,PWY-7316,dTDP-N-acetylviosamine biosynthesis,dTDP-N-acetylviosamine biosynthesis (PWY-7316)
p360,PWY-7317,superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis,superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis (PWY-7317)
p361,PWY-7323,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis (PWY-7323)
p362,PWY-7328,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis (PWY-7328)
p363,PWY-7332,superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis (PWY-7332)
p364,PWY-7357,thiamine phosphate formation from pyrithiamine and oxythiamine (yeast),thiamine phosphate formation from pyrithiamine and oxythiamine (yeast) (PWY-7357)
p365,PWY-7371,"1,4-dihydroxy-6-naphthoate biosynthesis II","1,4-dihydroxy-6-naphthoate biosynthesis II (PWY-7371)"
p366,PWY-7373,superpathway of demethylmenaquinol-6 biosynthesis II,superpathway of demethylmenaquinol-6 biosynthesis II (PWY-7373)
p367,PWY-7383,"anaerobic energy metabolism (invertebrates, cytosol)","anaerobic energy metabolism (invertebrates, cytosol) (PWY-7383)"
p368,PWY-7384,"anaerobic energy metabolism (invertebrates, mitochondrial)","anaerobic energy metabolism (invertebrates, mitochondrial) (PWY-7384)"
p369,PWY-7385,"1,3-propanediol biosynthesis (engineered)","1,3-propanediol biosynthesis (engineered) (PWY-7385)"
p370,PWY-7388,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) (PWY-7388)"
p371,PWY-7389,superpathway of anaerobic energy metabolism (invertebrates),superpathway of anaerobic energy metabolism (invertebrates) (PWY-7389)
p372,PWY-7391,isoprene biosynthesis II (engineered),isoprene biosynthesis II (engineered) (PWY-7391)
p373,PWY-7392,taxadiene biosynthesis (engineered),taxadiene biosynthesis (engineered) (PWY-7392)
p374,PWY-7399,methylphosphonate degradation II,methylphosphonate degradation II (PWY-7399)
p375,PWY-7400,L-arginine biosynthesis IV (archaebacteria),L-arginine biosynthesis IV (archaebacteria) (PWY-7400)
p376,PWY-7409,"phospholipid remodeling (phosphatidylethanolamine, yeast)","phospholipid remodeling (phosphatidylethanolamine, yeast) (PWY-7409)"
p377,PWY-7413,dTDP-6-deoxy-&alpha;-D-allose biosynthesis,dTDP-6-deoxy-alpha-D-allose biosynthesis (PWY-7413)
p378,PWY-7431,aromatic biogenic amine degradation (bacteria),aromatic biogenic amine degradation (bacteria) (PWY-7431)
p379,PWY-7446,sulfoquinovose degradation I,sulfoquinovose degradation I (PWY-7446)
p380,PWY-7456,"&beta;-(1,4)-mannan degradation","beta-(1,4)-mannan degradation (PWY-7456)"
p381,PWY-7527,L-methionine salvage cycle III,L-methionine salvage cycle III (PWY-7527)
p382,PWY-7528,L-methionine salvage cycle I (bacteria and plants),L-methionine salvage cycle I (bacteria and plants) (PWY-7528)
p383,PWY-7539,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia) (PWY-7539)
p384,PWY-7560,methylerythritol phosphate pathway II,methylerythritol phosphate pathway II (PWY-7560)
p385,PWY-7616,methanol oxidation to carbon dioxide,methanol oxidation to carbon dioxide (PWY-7616)
p386,PWY-7663,gondoate biosynthesis (anaerobic),gondoate biosynthesis (anaerobic) (PWY-7663)
p387,PWY-7664,oleate biosynthesis IV (anaerobic),oleate biosynthesis IV (anaerobic) (PWY-7664)
p388,PWY-821,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae) (PWY-821)
p389,PWY-841,superpathway of purine nucleotides de novo biosynthesis I,superpathway of purine nucleotides de novo biosynthesis I (PWY-841)
p390,PWY-922,mevalonate pathway I (eukaryotes and bacteria),mevalonate pathway I (eukaryotes and bacteria) (PWY-922)
p391,PWY0-1061,superpathway of L-alanine biosynthesis,superpathway of L-alanine biosynthesis (PWY0-1061)
p392,PWY0-1241,ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,ADP-L-glycero-beta-D-manno-heptose biosynthesis (PWY0-1241)
p393,PWY0-1261,anhydromuropeptides recycling I,anhydromuropeptides recycling I (PWY0-1261)
p394,PWY0-1277,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation (PWY0-1277)
p395,PWY0-1296,purine ribonucleosides degradation,purine ribonucleosides degradation (PWY0-1296)
p396,PWY0-1297,superpathway of purine deoxyribonucleosides degradation,superpathway of purine deoxyribonucleosides degradation (PWY0-1297)
p397,PWY0-1298,superpathway of pyrimidine deoxyribonucleosides degradation,superpathway of pyrimidine deoxyribonucleosides degradation (PWY0-1298)
p398,PWY0-1319,CDP-diacylglycerol biosynthesis II,CDP-diacylglycerol biosynthesis II (PWY0-1319)
p399,PWY0-1338,polymyxin resistance,polymyxin resistance (PWY0-1338)
p400,PWY0-1415,superpathway of heme b biosynthesis from uroporphyrinogen-III,superpathway of heme b biosynthesis from uroporphyrinogen-III (PWY0-1415)
p401,PWY0-1479,tRNA processing,tRNA processing (PWY0-1479)
p402,PWY0-1533,methylphosphonate degradation I,methylphosphonate degradation I (PWY0-1533)
p403,PWY0-1586,peptidoglycan maturation (meso-diaminopimelate containing),peptidoglycan maturation (meso-diaminopimelate containing) (PWY0-1586)
p404,PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis,superpathway of pyrimidine ribonucleotides de novo biosynthesis (PWY0-162)
p405,PWY0-166,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli) (PWY0-166)
p406,PWY0-41,allantoin degradation IV (anaerobic),allantoin degradation IV (anaerobic) (PWY0-41)
p407,PWY0-42,2-methylcitrate cycle I,2-methylcitrate cycle I (PWY0-42)
p408,PWY0-781,aspartate superpathway,aspartate superpathway (PWY0-781)
p409,PWY0-845,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage (PWY0-845)
p410,PWY0-862,(5Z)-dodecenoate biosynthesis I,(5Z)-dodecenoate biosynthesis I (PWY0-862)
p411,PWY0-881,superpathway of fatty acid biosynthesis I (E. coli),superpathway of fatty acid biosynthesis I (E. coli) (PWY0-881)
p412,PWY1F-823,leucopelargonidin and leucocyanidin biosynthesis,leucopelargonidin and leucocyanidin biosynthesis (PWY1F-823)
p413,PWY1G-0,mycothiol biosynthesis,mycothiol biosynthesis (PWY1G-0)
p414,PWY3DJ-35471,"L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)","L-ascorbate biosynthesis IV (animals, D-glucuronate pathway) (PWY3DJ-35471)"
p415,PWY3O-1109,no MetaCyc description,no MetaCyc description (PWY3O-1109)
p416,PWY3O-355,stearate biosynthesis III (fungi),stearate biosynthesis III (fungi) (PWY3O-355)
p417,PWY490-3,nitrate reduction VI (assimilatory),nitrate reduction VI (assimilatory) (PWY490-3)
p418,PWY4FS-7,phosphatidylglycerol biosynthesis I (plastidic),phosphatidylglycerol biosynthesis I (plastidic) (PWY4FS-7)
p419,PWY4FS-8,phosphatidylglycerol biosynthesis II (non-plastidic),phosphatidylglycerol biosynthesis II (non-plastidic) (PWY4FS-8)
p420,PWY4LZ-257,superpathway of fermentation (Chlamydomonas reinhardtii),superpathway of fermentation (Chlamydomonas reinhardtii) (PWY4LZ-257)
p421,PWY5F9-12,biphenyl degradation,biphenyl degradation (PWY5F9-12)
p422,PWY66-367,ketogenesis,ketogenesis (PWY66-367)
p423,PWY66-388,ceramide degradation by &alpha;-oxidation,ceramide degradation by alpha-oxidation (PWY66-388)
p424,PWY66-389,phytol degradation,phytol degradation (PWY66-389)
p425,PWY66-398,TCA cycle III (animals),TCA cycle III (animals) (PWY66-398)
p426,PWY66-399,gluconeogenesis III,gluconeogenesis III (PWY66-399)
p427,PWY66-409,superpathway of purine nucleotide salvage,superpathway of purine nucleotide salvage (PWY66-409)
p428,PWY66-422,no MetaCyc description,no MetaCyc description (PWY66-422)
p429,PYRIDNUCSAL-PWY,NAD salvage pathway I (PNC VI cycle),NAD salvage pathway I (PNC VI cycle) (PYRIDNUCSAL-PWY)
p430,PYRIDNUCSYN-PWY,NAD de novo biosynthesis I (from aspartate),NAD de novo biosynthesis I (from aspartate) (PYRIDNUCSYN-PWY)
p431,PYRIDOXSYN-PWY,pyridoxal 5'-phosphate biosynthesis I,pyridoxal 5'-phosphate biosynthesis I (PYRIDOXSYN-PWY)
p432,REDCITCYC,TCA cycle VI (Helicobacter),TCA cycle VI (Helicobacter) (REDCITCYC)
p433,RHAMCAT-PWY,L-rhamnose degradation I,L-rhamnose degradation I (RHAMCAT-PWY)
p434,RIBOSYN2-PWY,flavin biosynthesis I (bacteria and plants),flavin biosynthesis I (bacteria and plants) (RIBOSYN2-PWY)
p435,RUMP-PWY,formaldehyde oxidation I,formaldehyde oxidation I (RUMP-PWY)
p436,SALVADEHYPOX-PWY,adenosine nucleotides degradation II,adenosine nucleotides degradation II (SALVADEHYPOX-PWY)
p437,SER-GLYSYN-PWY,superpathway of L-serine and glycine biosynthesis I,superpathway of L-serine and glycine biosynthesis I (SER-GLYSYN-PWY)
p438,SO4ASSIM-PWY,assimilatory sulfate reduction I,assimilatory sulfate reduction I (SO4ASSIM-PWY)
p439,SULFATE-CYS-PWY,superpathway of sulfate assimilation and cysteine biosynthesis,superpathway of sulfate assimilation and cysteine biosynthesis (SULFATE-CYS-PWY)
p440,TCA-GLYOX-BYPASS,superpathway of glyoxylate bypass and TCA,superpathway of glyoxylate bypass and TCA (TCA-GLYOX-BYPASS)
p441,TCA,TCA cycle I (prokaryotic),TCA cycle I (prokaryotic) (TCA)
p442,TEICHOICACID-PWY,poly(glycerol phosphate) wall teichoic acid biosynthesis,poly(glycerol phosphate) wall teichoic acid biosynthesis (TEICHOICACID-PWY)
p443,THISYN-PWY,superpathway of thiamine diphosphate biosynthesis I,superpathway of thiamine diphosphate biosynthesis I (THISYN-PWY)
p444,THISYNARA-PWY,superpathway of thiamine diphosphate biosynthesis III (eukaryotes),superpathway of thiamine diphosphate biosynthesis III (eukaryotes) (THISYNARA-PWY)
p445,THREOCAT-PWY,superpathway of L-threonine metabolism,superpathway of L-threonine metabolism (THREOCAT-PWY)
p446,THRESYN-PWY,superpathway of L-threonine biosynthesis,superpathway of L-threonine biosynthesis (THRESYN-PWY)
p447,TRNA-CHARGING-PWY,tRNA charging,tRNA charging (TRNA-CHARGING-PWY)
p448,TRPSYN-PWY,L-tryptophan biosynthesis,L-tryptophan biosynthesis (TRPSYN-PWY)
p449,TYRFUMCAT-PWY,L-tyrosine degradation I,L-tyrosine degradation I (TYRFUMCAT-PWY)
p450,UBISYN-PWY,superpathway of ubiquinol-8 biosynthesis (early decarboxylation),superpathway of ubiquinol-8 biosynthesis (early decarboxylation) (UBISYN-PWY)
p451,UDPNACETYLGALSYN-PWY,UDP-N-acetyl-D-glucosamine biosynthesis II,UDP-N-acetyl-D-glucosamine biosynthesis II (UDPNACETYLGALSYN-PWY)
p452,UDPNAGSYN-PWY,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine biosynthesis I (UDPNAGSYN-PWY)
p453,URDEGR-PWY,superpathway of allantoin degradation in plants,superpathway of allantoin degradation in plants (URDEGR-PWY)
p454,URSIN-PWY,ureide biosynthesis,ureide biosynthesis (URSIN-PWY)
p455,VALDEG-PWY,L-valine degradation I,L-valine degradation I (VALDEG-PWY)
p456,VALSYN-PWY,L-valine biosynthesis,L-valine biosynthesis (VALSYN-PWY)
