feature_id	feature	feature description	feature_full
p218	PWY-5898	superpathway of menaquinol-12 biosynthesis	superpathway_of_menaquinol-12_biosynthesis_(PWY-5898)
p219	PWY-5899	superpathway of menaquinol-13 biosynthesis	superpathway_of_menaquinol-13_biosynthesis_(PWY-5899)
p220	PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	superpathway_of_geranylgeranyldiphosphate_biosynthesis_I_(via_mevalonate)_(PWY-5910)
p221	PWY-5913	partial TCA cycle (obligate autotrophs)	partial_TCA_cycle_(obligate_autotrophs)_(PWY-5913)
p222	PWY-5918	superpathway of heme b biosynthesis from glutamate	superpathway_of_heme_b_biosynthesis_from_glutamate_(PWY-5918)
p223	PWY-5920	superpathway of heme b biosynthesis from glycine	superpathway_of_heme_b_biosynthesis_from_glycine_(PWY-5920)
p224	PWY-5971	palmitate biosynthesis (type II fatty acid synthase)	palmitate_biosynthesis_(type_II_fatty_acid_synthase)_(PWY-5971)
p225	PWY-5973	cis-vaccenate biosynthesis	cis-vaccenate_biosynthesis_(PWY-5973)
p226	PWY-5989	stearate biosynthesis II (bacteria and plants)	stearate_biosynthesis_II_(bacteria_and_plants)_(PWY-5989)
p227	PWY-5994	palmitate biosynthesis (type I fatty acid synthase)	palmitate_biosynthesis_(type_I_fatty_acid_synthase)_(PWY-5994)
p228	PWY-6107	chlorosalicylate degradation	chlorosalicylate_degradation_(PWY-6107)
p229	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	5-aminoimidazole_ribonucleotide_biosynthesis_I_(PWY-6121)
p230	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5-aminoimidazole_ribonucleotide_biosynthesis_II_(PWY-6122)
p231	PWY-6123	inosine-5'-phosphate biosynthesis I	inosine-5'-phosphate_biosynthesis_I_(PWY-6123)
p232	PWY-6124	inosine-5'-phosphate biosynthesis II	inosine-5'-phosphate_biosynthesis_II_(PWY-6124)
p233	PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II_(PWY-6125)
p234	PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II_(PWY-6126)
p235	PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	CMP-N-acetylneuraminate_biosynthesis_I_(eukaryotes)_(PWY-6138)
p236	PWY-6143	CMP-pseudaminate biosynthesis	CMP-pseudaminate_biosynthesis_(PWY-6143)
p237	PWY-6145	superpathway of CMP-sialic acids biosynthesis	superpathway_of_CMP-sialic_acids_biosynthesis_(PWY-6145)
p238	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I_(PWY-6147)
p239	PWY-6151	S-adenosyl-L-methionine salvage I	S-adenosyl-L-methionine_salvage_I_(PWY-6151)
p240	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	chorismate_biosynthesis_from_3-dehydroquinate_(PWY-6163)
p241	PWY-6168	flavin biosynthesis III (fungi)	flavin_biosynthesis_III_(fungi)_(PWY-6168)
p242	PWY-6182	superpathway of salicylate degradation	superpathway_of_salicylate_degradation_(PWY-6182)
p243	PWY-6185	4-methylcatechol degradation (ortho cleavage)	4-methylcatechol_degradation_(ortho_cleavage)_(PWY-6185)
p244	PWY-6210	2-aminophenol degradation	2-aminophenol_degradation_(PWY-6210)
p245	PWY-6215	4-chlorobenzoate degradation	4-chlorobenzoate_degradation_(PWY-6215)
p246	PWY-622	starch biosynthesis	starch_biosynthesis_(PWY-622)
p247	PWY-6263	superpathway of menaquinol-8 biosynthesis II	superpathway_of_menaquinol-8_biosynthesis_II_(PWY-6263)
p248	PWY-6270	isoprene biosynthesis I	isoprene_biosynthesis_I_(PWY-6270)
p249	PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis_(PWY-6277)
p250	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	palmitoleate_biosynthesis_I_(from_(5Z)-dodec-5-enoate)_(PWY-6282)
p251	PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)	superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)_(PWY-6284)
p252	PWY-6285	superpathway of fatty acids biosynthesis (E. coli)	superpathway_of_fatty_acids_biosynthesis_(E._coli)_(PWY-6285)
p253	PWY-6305	superpathway of putrescine biosynthesis	superpathway_of_putrescine_biosynthesis_(PWY-6305)
p254	PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)	L-tryptophan_degradation_X_(mammalian,_via_tryptamine)_(PWY-6307)
p255	PWY-6313	serotonin degradation	serotonin_degradation_(PWY-6313)
p256	PWY-6317	D-galactose degradation I (Leloir pathway)	D-galactose_degradation_I_(Leloir_pathway)_(PWY-6317)
p257	PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)	L-phenylalanine_degradation_IV_(mammalian,_via_side_chain)_(PWY-6318)
p258	PWY-6353	purine nucleotides degradation II (aerobic)	purine_nucleotides_degradation_II_(aerobic)_(PWY-6353)
p259	PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	peptidoglycan_biosynthesis_III_(mycobacteria)_(PWY-6385)
p260	PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)_(PWY-6386)
p261	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)_(PWY-6387)
p262	PWY-6396	superpathway of 2,3-butanediol biosynthesis	superpathway_of_2,3-butanediol_biosynthesis_(PWY-6396)
p263	PWY-6435	4-hydroxybenzoate biosynthesis III (plants)	4-hydroxybenzoate_biosynthesis_III_(plants)_(PWY-6435)
p264	PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	Kdo_transfer_to_lipid_IVA_III_(Chlamydia)_(PWY-6467)
p265	PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	peptidoglycan_biosynthesis_V_(&beta;-lactam_resistance)_(PWY-6470)
p266	PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	peptidoglycan_biosynthesis_IV_(Enterococcus_faecium)_(PWY-6471)
p267	PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	GDP-D-glycero-&alpha;-D-manno-heptose_biosynthesis_(PWY-6478)
p268	PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	4-deoxy-L-threo-hex-4-enopyranuronate_degradation_(PWY-6507)
p269	PWY-6519	8-amino-7-oxononanoate biosynthesis I	8-amino-7-oxononanoate_biosynthesis_I_(PWY-6519)
p270	PWY-6527	stachyose degradation	stachyose_degradation_(PWY-6527)
p271	PWY-6531	mannitol cycle	mannitol_cycle_(PWY-6531)
p272	PWY-6538	caffeine degradation III (bacteria, via demethylation)	caffeine_degradation_III_(bacteria,_via_demethylation)_(PWY-6538)
p273	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_III_(PWY-6545)
p274	PWY-6549	L-glutamine biosynthesis III	L-glutamine_biosynthesis_III_(PWY-6549)
p275	PWY-6562	norspermidine biosynthesis	norspermidine_biosynthesis_(PWY-6562)
p276	PWY-6565	superpathway of polyamine biosynthesis III	superpathway_of_polyamine_biosynthesis_III_(PWY-6565)
p277	PWY-6572	chondroitin sulfate degradation I (bacterial)	chondroitin_sulfate_degradation_I_(bacterial)_(PWY-6572)
p278	PWY-6588	pyruvate fermentation to acetone	pyruvate_fermentation_to_acetone_(PWY-6588)
p279	PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation	superpathway_of_Clostridium_acetobutylicum_acidogenic_fermentation_(PWY-6590)
p280	PWY-6595	superpathway of guanosine nucleotides degradation (plants)	superpathway_of_guanosine_nucleotides_degradation_(plants)_(PWY-6595)
p281	PWY-6606	guanosine nucleotides degradation II	guanosine_nucleotides_degradation_II_(PWY-6606)
p282	PWY-6608	guanosine nucleotides degradation III	guanosine_nucleotides_degradation_III_(PWY-6608)
p283	PWY-6609	adenine and adenosine salvage III	adenine_and_adenosine_salvage_III_(PWY-6609)
p284	PWY-6612	superpathway of tetrahydrofolate biosynthesis	superpathway_of_tetrahydrofolate_biosynthesis_(PWY-6612)
p285	PWY-6630	superpathway of L-tyrosine biosynthesis	superpathway_of_L-tyrosine_biosynthesis_(PWY-6630)
p286	PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	2-heptyl-3-hydroxy-4(1H)-quinolone_biosynthesis_(PWY-6660)
p287	PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate_(PWY-6690)
p288	PWY-6700	queuosine biosynthesis I (de novo)	queuosine_biosynthesis_I_(de_novo)_(PWY-6700)
p289	PWY-6703	preQ0 biosynthesis	preQ0_biosynthesis_(PWY-6703)
p290	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation)	ubiquinol-8_biosynthesis_(early_decarboxylation)_(PWY-6708)
p291	PWY-6731	starch degradation III	starch_degradation_III_(PWY-6731)
p292	PWY-6737	starch degradation V	starch_degradation_V_(PWY-6737)
p293	PWY-6748	nitrate reduction VII (denitrification)	nitrate_reduction_VII_(denitrification)_(PWY-6748)
p294	PWY-6749	CMP-legionaminate biosynthesis I	CMP-legionaminate_biosynthesis_I_(PWY-6749)
p295	PWY-6763	salicortin biosynthesis	salicortin_biosynthesis_(PWY-6763)
p296	PWY-6785	hydrogen production VIII	hydrogen_production_VIII_(PWY-6785)
p297	PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)	6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_II_(Methanocaldococcus)_(PWY-6797)
p298	PWY-6803	phosphatidylcholine acyl editing	phosphatidylcholine_acyl_editing_(PWY-6803)
p299	PWY-6823	molybdopterin biosynthesis	molybdopterin_biosynthesis_(PWY-6823)
p300	PWY-6859	all-trans-farnesol biosynthesis	all-trans-farnesol_biosynthesis_(PWY-6859)
p301	PWY-6863	pyruvate fermentation to hexanol (engineered)	pyruvate_fermentation_to_hexanol_(engineered)_(PWY-6863)
p302	PWY-6876	isopropanol biosynthesis (engineered)	isopropanol_biosynthesis_(engineered)_(PWY-6876)
p303	PWY-6892	thiazole component of thiamine diphosphate biosynthesis I	thiazole_component_of_thiamine_diphosphate_biosynthesis_I_(PWY-6892)
p304	PWY-6897	thiamine diphosphate salvage II	thiamine_diphosphate_salvage_II_(PWY-6897)
p305	PWY-6901	superpathway of glucose and xylose degradation	superpathway_of_glucose_and_xylose_degradation_(PWY-6901)
p306	PWY-6906	chitin derivatives degradation	chitin_derivatives_degradation_(PWY-6906)
p307	PWY-6936	seleno-amino acid biosynthesis (plants)	seleno-amino_acid_biosynthesis_(plants)_(PWY-6936)
p308	PWY-6953	dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	dTDP-3-acetamido-&alpha;-D-fucose_biosynthesis_(PWY-6953)
p309	PWY-6957	mandelate degradation to acetyl-CoA	mandelate_degradation_to_acetyl-CoA_(PWY-6957)
p310	PWY-6969	TCA cycle V (2-oxoglutarate synthase)	TCA_cycle_V_(2-oxoglutarate_synthase)_(PWY-6969)
p311	PWY-7003	glycerol degradation to butanol	glycerol_degradation_to_butanol_(PWY-7003)
p312	PWY-7013	(S)-propane-1,2-diol degradation	(S)-propane-1,2-diol_degradation_(PWY-7013)
p313	PWY-7031	protein N-glycosylation (bacterial)	protein_N-glycosylation_(bacterial)_(PWY-7031)
p314	PWY-7039	phosphatidate metabolism, as a signaling molecule	phosphatidate_metabolism,_as_a_signaling_molecule_(PWY-7039)
p315	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate_biosynthesis_(PWY-7090)
p316	PWY-7094	fatty acid salvage	fatty_acid_salvage_(PWY-7094)
p317	PWY-7111	pyruvate fermentation to isobutanol (engineered)	pyruvate_fermentation_to_isobutanol_(engineered)_(PWY-7111)
p318	PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type_(PWY-7115)
p319	PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type_(PWY-7117)
p320	PWY-7118	chitin deacetylation	chitin_deacetylation_(PWY-7118)
p321	PWY-7124	ethene biosynthesis V (engineered)	ethene_biosynthesis_V_(engineered)_(PWY-7124)
p322	PWY-7165	L-ascorbate biosynthesis VIII (engineered pathway)	L-ascorbate_biosynthesis_VIII_(engineered_pathway)_(PWY-7165)
p323	PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I_(PWY-7184)
p324	PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_II_(PWY-7187)
p325	PWY-7196	superpathway of pyrimidine ribonucleosides salvage	superpathway_of_pyrimidine_ribonucleosides_salvage_(PWY-7196)
p326	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	pyrimidine_deoxyribonucleotide_phosphorylation_(PWY-7197)
p327	PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV_(PWY-7198)
p328	PWY-7199	pyrimidine deoxyribonucleosides salvage	pyrimidine_deoxyribonucleosides_salvage_(PWY-7199)
p329	PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	superpathway_of_pyrimidine_deoxyribonucleoside_salvage_(PWY-7200)
p330	PWY-7204	pyridoxal 5'-phosphate salvage II (plants)	pyridoxal_5'-phosphate_salvage_II_(plants)_(PWY-7204)
p331	PWY-7208	superpathway of pyrimidine nucleobases salvage	superpathway_of_pyrimidine_nucleobases_salvage_(PWY-7208)
p332	PWY-7209	superpathway of pyrimidine ribonucleosides degradation	superpathway_of_pyrimidine_ribonucleosides_degradation_(PWY-7209)
p333	PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	pyrimidine_deoxyribonucleotides_biosynthesis_from_CTP_(PWY-7210)
p334	PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(PWY-7211)
p335	PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	photosynthetic_3-hydroxybutanoate_biosynthesis_(engineered)_(PWY-7218)
p336	PWY-7219	adenosine ribonucleotides de novo biosynthesis	adenosine_ribonucleotides_de_novo_biosynthesis_(PWY-7219)
p337	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	adenosine_deoxyribonucleotides_de_novo_biosynthesis_II_(PWY-7220)
p338	PWY-7221	guanosine ribonucleotides de novo biosynthesis	guanosine_ribonucleotides_de_novo_biosynthesis_(PWY-7221)
p339	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	guanosine_deoxyribonucleotides_de_novo_biosynthesis_II_(PWY-7222)
p340	PWY-7224	purine deoxyribonucleosides salvage	purine_deoxyribonucleosides_salvage_(PWY-7224)
p341	PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I_(PWY-7228)
p342	PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I_(PWY-7229)
p343	PWY-7234	inosine-5'-phosphate biosynthesis III	inosine-5'-phosphate_biosynthesis_III_(PWY-7234)
p344	PWY-7235	superpathway of ubiquinol-6 biosynthesis (late decarboxylation)	superpathway_of_ubiquinol-6_biosynthesis_(late_decarboxylation)_(PWY-7235)
p345	PWY-7237	myo-, chiro- and scyllo-inositol degradation	myo-,_chiro-_and_scyllo-inositol_degradation_(PWY-7237)
p346	PWY-7242	D-fructuronate degradation	D-fructuronate_degradation_(PWY-7242)
p347	PWY-7245	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	superpathway_of_NAD/NADP_-_NADH/NADPH_interconversion_(yeast)_(PWY-7245)
p348	PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II_(PWY-724)
p349	PWY-7254	TCA cycle VII (acetate-producers)	TCA_cycle_VII_(acetate-producers)_(PWY-7254)
p350	PWY-7268	cytosolic NADPH production (yeast)	cytosolic_NADPH_production_(yeast)_(PWY-7268)
p351	PWY-7269	mitochondrial NADPH production (yeast)	mitochondrial_NADPH_production_(yeast)_(PWY-7269)
p352	PWY-7270	L-methionine salvage cycle II (plants)	L-methionine_salvage_cycle_II_(plants)_(PWY-7270)
p353	PWY-7279	aerobic respiration II (cytochrome c) (yeast)	aerobic_respiration_II_(cytochrome_c)_(yeast)_(PWY-7279)
p354	PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	4-amino-2-methyl-5-diphosphomethylpyrimidine_biosynthesis_II_(PWY-7282)
p355	PWY-7290	Escherichia coli serotype O86 O-antigen biosynthesis	Escherichia_coli_serotype_O86_O-antigen_biosynthesis_(PWY-7290)
p356	PWY-7294	D-xylose degradation IV	D-xylose_degradation_IV_(PWY-7294)
p357	PWY-7312	dTDP-&beta;-D-fucofuranose biosynthesis	dTDP-&beta;-D-fucofuranose_biosynthesis_(PWY-7312)
p358	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	dTDP-N-acetylthomosamine_biosynthesis_(PWY-7315)
p359	PWY-7316	dTDP-N-acetylviosamine biosynthesis	dTDP-N-acetylviosamine_biosynthesis_(PWY-7316)
p360	PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	superpathway_of_dTDP-glucose-derived_O-antigen_building_blocks_biosynthesis_(PWY-7317)
p361	PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis_(PWY-7323)
p362	PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	superpathway_of_UDP-glucose-derived_O-antigen_building_blocks_biosynthesis_(PWY-7328)
p363	PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	superpathway_of_UDP-N-acetylglucosamine-derived_O-antigen_building_blocks_biosynthesis_(PWY-7332)
p364	PWY-7357	thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	thiamine_phosphate_formation_from_pyrithiamine_and_oxythiamine_(yeast)_(PWY-7357)
p365	PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	1,4-dihydroxy-6-naphthoate_biosynthesis_II_(PWY-7371)
p366	PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	superpathway_of_demethylmenaquinol-6_biosynthesis_II_(PWY-7373)
p367	PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)	anaerobic_energy_metabolism_(invertebrates,_cytosol)_(PWY-7383)
p368	PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)	anaerobic_energy_metabolism_(invertebrates,_mitochondrial)_(PWY-7384)
p369	PWY-7385	1,3-propanediol biosynthesis (engineered)	1,3-propanediol_biosynthesis_(engineered)_(PWY-7385)
p370	PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	octanoyl-[acyl-carrier_protein]_biosynthesis_(mitochondria,_yeast)_(PWY-7388)
p371	PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)	superpathway_of_anaerobic_energy_metabolism_(invertebrates)_(PWY-7389)
p372	PWY-7391	isoprene biosynthesis II (engineered)	isoprene_biosynthesis_II_(engineered)_(PWY-7391)
p373	PWY-7392	taxadiene biosynthesis (engineered)	taxadiene_biosynthesis_(engineered)_(PWY-7392)
p374	PWY-7399	methylphosphonate degradation II	methylphosphonate_degradation_II_(PWY-7399)
p375	PWY-7400	L-arginine biosynthesis IV (archaebacteria)	L-arginine_biosynthesis_IV_(archaebacteria)_(PWY-7400)
p376	PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)	phospholipid_remodeling_(phosphatidylethanolamine,_yeast)_(PWY-7409)
p377	PWY-7413	dTDP-6-deoxy-&alpha;-D-allose biosynthesis	dTDP-6-deoxy-&alpha;-D-allose_biosynthesis_(PWY-7413)
p378	PWY-7431	aromatic biogenic amine degradation (bacteria)	aromatic_biogenic_amine_degradation_(bacteria)_(PWY-7431)
p379	PWY-7446	sulfoquinovose degradation I	sulfoquinovose_degradation_I_(PWY-7446)
p380	PWY-7456	&beta;-(1,4)-mannan degradation	&beta;-(1,4)-mannan_degradation_(PWY-7456)
p381	PWY-7527	L-methionine salvage cycle III	L-methionine_salvage_cycle_III_(PWY-7527)
p382	PWY-7528	L-methionine salvage cycle I (bacteria and plants)	L-methionine_salvage_cycle_I_(bacteria_and_plants)_(PWY-7528)
p383	PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)_(PWY-7539)
p384	PWY-7560	methylerythritol phosphate pathway II	methylerythritol_phosphate_pathway_II_(PWY-7560)
p385	PWY-7616	methanol oxidation to carbon dioxide	methanol_oxidation_to_carbon_dioxide_(PWY-7616)
p386	PWY-7663	gondoate biosynthesis (anaerobic)	gondoate_biosynthesis_(anaerobic)_(PWY-7663)
p387	PWY-7664	oleate biosynthesis IV (anaerobic)	oleate_biosynthesis_IV_(anaerobic)_(PWY-7664)
p388	PWY-821	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	superpathway_of_sulfur_amino_acid_biosynthesis_(Saccharomyces_cerevisiae)_(PWY-821)
p389	PWY-841	superpathway of purine nucleotides de novo biosynthesis I	superpathway_of_purine_nucleotides_de_novo_biosynthesis_I_(PWY-841)
p390	PWY-922	mevalonate pathway I (eukaryotes and bacteria)	mevalonate_pathway_I_(eukaryotes_and_bacteria)_(PWY-922)
p391	PWY0-1061	superpathway of L-alanine biosynthesis	superpathway_of_L-alanine_biosynthesis_(PWY0-1061)
p392	PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis_(PWY0-1241)
p393	PWY0-1261	anhydromuropeptides recycling I	anhydromuropeptides_recycling_I_(PWY0-1261)
p394	PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_(PWY0-1277)
p395	PWY0-1296	purine ribonucleosides degradation	purine_ribonucleosides_degradation_(PWY0-1296)
p396	PWY0-1297	superpathway of purine deoxyribonucleosides degradation	superpathway_of_purine_deoxyribonucleosides_degradation_(PWY0-1297)
p397	PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	superpathway_of_pyrimidine_deoxyribonucleosides_degradation_(PWY0-1298)
p398	PWY0-1319	CDP-diacylglycerol biosynthesis II	CDP-diacylglycerol_biosynthesis_II_(PWY0-1319)
p399	PWY0-1338	polymyxin resistance	polymyxin_resistance_(PWY0-1338)
p400	PWY0-1415	superpathway of heme b biosynthesis from uroporphyrinogen-III	superpathway_of_heme_b_biosynthesis_from_uroporphyrinogen-III_(PWY0-1415)
p401	PWY0-1479	tRNA processing	tRNA_processing_(PWY0-1479)
p402	PWY0-1533	methylphosphonate degradation I	methylphosphonate_degradation_I_(PWY0-1533)
p403	PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	peptidoglycan_maturation_(meso-diaminopimelate_containing)_(PWY0-1586)
p404	PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis_(PWY0-162)
p405	PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)_(PWY0-166)
p406	PWY0-41	allantoin degradation IV (anaerobic)	allantoin_degradation_IV_(anaerobic)_(PWY0-41)
p407	PWY0-42	2-methylcitrate cycle I	2-methylcitrate_cycle_I_(PWY0-42)
p408	PWY0-781	aspartate superpathway	aspartate_superpathway_(PWY0-781)
p409	PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage_(PWY0-845)
p410	PWY0-862	(5Z)-dodecenoate biosynthesis I	(5Z)-dodecenoate_biosynthesis_I_(PWY0-862)
p411	PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)	superpathway_of_fatty_acid_biosynthesis_I_(E._coli)_(PWY0-881)
p412	PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	leucopelargonidin_and_leucocyanidin_biosynthesis_(PWY1F-823)
p413	PWY1G-0	mycothiol biosynthesis	mycothiol_biosynthesis_(PWY1G-0)
p414	PWY3DJ-35471	L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)	L-ascorbate_biosynthesis_IV_(animals,_D-glucuronate_pathway)_(PWY3DJ-35471)
p415	PWY3O-1109	0	_(PWY3O-1109)
p416	PWY3O-355	stearate biosynthesis III (fungi)	stearate_biosynthesis_III_(fungi)_(PWY3O-355)
p417	PWY490-3	nitrate reduction VI (assimilatory)	nitrate_reduction_VI_(assimilatory)_(PWY490-3)
p418	PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	phosphatidylglycerol_biosynthesis_I_(plastidic)_(PWY4FS-7)
p419	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	phosphatidylglycerol_biosynthesis_II_(non-plastidic)_(PWY4FS-8)
p420	PWY4LZ-257	superpathway of fermentation (Chlamydomonas reinhardtii)	superpathway_of_fermentation_(Chlamydomonas_reinhardtii)_(PWY4LZ-257)
p421	PWY5F9-12	biphenyl degradation	biphenyl_degradation_(PWY5F9-12)
p422	PWY66-367	ketogenesis	ketogenesis_(PWY66-367)
p423	PWY66-388	ceramide degradation by &alpha;-oxidation	ceramide_degradation_by_&alpha;-oxidation_(PWY66-388)
p424	PWY66-389	phytol degradation	phytol_degradation_(PWY66-389)
p425	PWY66-398	TCA cycle III (animals)	TCA_cycle_III_(animals)_(PWY66-398)
p426	PWY66-399	gluconeogenesis III	gluconeogenesis_III_(PWY66-399)
p427	PWY66-409	superpathway of purine nucleotide salvage	superpathway_of_purine_nucleotide_salvage_(PWY66-409)
p428	PWY66-422	5117.2009089117	_(PWY66-422)
p429	PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	NAD_salvage_pathway_I_(PNC_VI_cycle)_(PYRIDNUCSAL-PWY)
p430	PYRIDNUCSYN-PWY	NAD de novo biosynthesis I (from aspartate)	NAD_de_novo_biosynthesis_I_(from_aspartate)_(PYRIDNUCSYN-PWY)
p431	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	pyridoxal_5'-phosphate_biosynthesis_I_(PYRIDOXSYN-PWY)
p432	REDCITCYC	TCA cycle VI (Helicobacter)	TCA_cycle_VI_(Helicobacter)_(REDCITCYC)
p433	RHAMCAT-PWY	L-rhamnose degradation I	L-rhamnose_degradation_I_(RHAMCAT-PWY)
